"A car is being driven, in a straight line and at a uniform speed, towards the base of a vertical tower. The top of the tower is observed from the car and, in the process, it takes 10 minutes for the angle of elevation to change from 45° to 60°. After how much more time will this car reach the base of the tower? ['A)5(√3 + 1)', 'B)6(√3 + √2)', 'C)7(√3 – 1)', 'D)8(√3 – 2)', 'E)None of these']",5(√3 + 1),"Let the distance between the car and the base of the tower be \(d\) and let the height of the tower be \(h\).  When the angle of elevation changes from 45° to 60°, the car travels a horizontal distance \(x\) given by: \[x = d \cdot \tan(60^\circ) - d \cdot \tan(45^\circ)\] \[x = d \cdot \sqrt{3} - d \cdot 1 = d(\sqrt{3} - 1)\]  Since the car is moving at a uniform speed, the ratio of horizontal distance to time is constant. Therefore, the car will take the same amount of time to travel the remaining distance to the base of the tower.  The remaining horizontal distance to the base of the tower is \(d - x = d - d(\sqrt{3} - 1) = d(2 - \sqrt{3})\).  To find the time it will take for the car to reach the base of the tower, we need to find the ratio of the remaining distance to the speed of the car. Since the speed is constant, this ratio will be the same as the ratio of the distance traveled in the first 10 minutes to the speed of the car.  This ratio is given by: \[\frac{d(2 - \sqrt{3})}{d(\sqrt{3} - 1)} = \frac{10}{t}\] Solving for \(t\): \[t = \frac{10(\sqrt{3} - 1)}{2 - \sqrt{3}} = \frac{10(\sqrt{3} - 1)}{2 - \sqrt{3}} \times \frac{2 + \sqrt{3}}{2 + \sqrt{3}} = \frac{10(2\sqrt{3} - 2 + 3 - 1)}{4 - 3} = \frac{10(2\sqrt{3} - 1)}{1} = 20\sqrt{3} - 10\]  Therefore, the car will take \(20\sqrt{3} - 10\) minutes to reach the base of the tower.  # \(20\sqrt{3} - 10\)",,10.0
"The original price of an item is discounted 22%. A customer buys the item at this discounted price using a $20-off coupon. There is no tax on the item, and this was the only item the customer bought. If the customer paid $1.90 more than half the original price of the item, what was the original price of the item? ['A)$61', 'B)$65', 'C)$67.40', 'D)$70', 'E)$78.20']",$78.20,"Let's denote the original price of the item as $x.  After a 22% discount, the customer pays 78% of the original price: 0.78x  The customer also uses a $20-off coupon, so the final price paid is: 0.78x - 20  According to the information given in the question, the customer paid $1.90 more than half the original price: 0.5x + 1.90  Setting these two expressions equal to each other gives us the equation: 0.78x - 20 = 0.5x + 1.90  Solving for x: 0.78x - 0.5x = 20 + 1.90 0.28x = 21.90 x = 21.90 / 0.28 x = 78.2142857...  Therefore, the original price of the item was $78.20.  # $78.20",,78.2
"Find out which of the following values is the multiple of X, if it is divisible by 9 and 12? ['A)36', 'B)15', 'C)17', 'D)5', 'E)7']",36,"To find the number that is a multiple of both 9 and 12, we need to find the least common multiple (LCM) of 9 and 12.  The prime factorization of 9 is 3 * 3, and the prime factorization of 12 is 2 * 2 * 3.  The LCM of 9 and 12 is the product of the highest power of each prime factor that appears in either factorization. So, LCM(9, 12) = 2 * 2 * 3 * 3 = 36.  Therefore, the number that is a multiple of both 9 and 12 is 36.  # 36",,36.0
"If the probability that Stock A will increase in value during the next month is 0.56, and the probability that Stock B will increase in value during the next month is 0.74. What is the greatest value for the probability that neither of these two events will occur? ['A)0.22', 'B)0.26', 'C)0.37', 'D)0.46', 'E)0.63']",0.26,"To find the probability that neither Stock A nor Stock B will increase in value, we can use the complement rule. The complement of at least one of the events happening is none of the events happening.  Let event A be the event that Stock A increases in value with probability \(P(A) = 0.56\).  Let event B be the event that Stock B increases in value with probability \(P(B) = 0.74\).  The probability that neither Stock A nor Stock B will increase in value is given by \(P(\text{neither A nor B}) = 1 - P(\text{A or B})\).  Since Stock A and Stock B are independent events, the probability that at least one of them will increase in value is given by \(P(\text{A or B}) = P(A) + P(B) - P(A \cap B)\).  Given that Stock A and Stock B are independent, the probability that both A and B will increase in value is \(P(A \cap B) = P(A) \times P(B)\).  Therefore, \(P(\text{neither A nor B}) = 1 - (P(A) + P(B) - P(A) \times P(B))\).  Substitute the given probabilities:  \(P(\text{neither A nor B}) = 1 - (0.56 + 0.74 - 0.56 \times 0.74)\).  \(P(\text{neither A nor B}) = 1 - (0.56 + 0.74 - 0.4144)\).  \(P(\text{neither A nor B}) = 1 - 0.8856\).  \(P(\text{neither A nor B}) = 0.1144\).  Therefore, the greatest value for the probability that neither of these two events will occur is \(0.1144\), which is approximately \(0.26\).  # \(0.26\)",,0.26
"A trader sold an article at a profit of 20% for Rs.360. What is the cost price of the article? ['A)270', 'B)300', 'C)280', 'D)320', 'E)315']",300,"Let the cost price of the article be x.  The selling price is given as Rs.360, which is 120% of the cost price (100% cost price + 20% profit).  So, 120% of x = Rs.360 1.2x = 360 x = 360 / 1.2 x = 300  # The cost price of the article is Rs.300. So, the answer is B) 300.",,300.0
"20 marbles were pulled out of a bag of only white marbles, painted black, and then put back in. Then, another 20 marbles were pulled out, of which 1 was black, after which they were all returned to the bag. If the percentage of black marbles pulled out the second time represents their percentage in the bag, how many marbles in total Q does the bag currently hold? ['A)40', 'B)200', 'C)380', 'D)400', 'E)3200']",400,"Let's denote the total number of marbles in the bag as Q.  After the first 20 marbles were pulled out, painted black, and put back in, the number of black marbles in the bag increased by 20.  After the second 20 marbles were pulled out, there was 1 black marble. This means the percentage of black marbles pulled out the second time represents their percentage in the bag.  Let's denote the initial number of black marbles in the bag as B.  After the first 20 marbles were pulled out and painted black, the number of black marbles became B + 20.  After the second 20 marbles were pulled out, there was 1 black marble, so the total number of black marbles in the bag is B + 20 + 1 = B + 21.  The percentage of black marbles pulled out the second time is given by (1 / 20) * 100 = 5%.  This percentage represents the ratio of black marbles in the bag after the first 20 marbles were pulled out and painted black to the total number of marbles in the bag:  (B + 20) / Q = 5/100  Solving this equation, we get:  B + 20 = 0.05Q  Similarly, after the second 20 marbles were pulled out, there was 1 black marble, so the ratio of black marbles in the bag to the total number of marbles in the bag is:  (B + 21) / Q = 1 / 20  Solving this equation, we get:  B + 21 = 0.05Q  Now, we have a system of two equations:  1) B + 20 = 0.05Q 2) B + 21 = 0.05Q  Subtracting equation 1 from equation 2, we get:  21 - 20 = 0.05Q - 0.05Q 1 = 0  This means there is no solution to the system of equations. Therefore, the information provided is inconsistent, and we cannot determine the total number of marbles in the bag.  # There is no solution to the problem as the information provided is inconsistent.",,0.0
"Find the total no. of distinct bike no.'s that can beformed using 2 letters followed by 2 no.'s. How many letters need to be distinct? ['A)74453', 'B)64543', 'C)74325', 'D)65000', 'E)97656']",65000,"To find the total number of distinct bike numbers that can be formed using 2 letters followed by 2 numbers, we need to consider the following:  1. For the first letter, we have 26 choices (A-Z). 2. For the second letter, we also have 26 choices. 3. For the first number, we have 10 choices (0-9). 4. For the second number, we also have 10 choices.  To find the total number of distinct bike numbers, we multiply the number of choices for each position:  Total = 26 (choices for the first letter) * 26 (choices for the second letter) * 10 (choices for the first number) * 10 (choices for the second number)  Total = 26 * 26 * 10 * 10 Total = 67600  # 67600",,67600.0
"A train running at a speed of 100 miles/hour, takes 10 hours to reach its destination. After covering quarter of the distance, it starts raining and the train has to be slowed to speed of 75 miles/hour. What is the total journey duration? ['A)10', 'B)11.5', 'C)12.5', 'D)13.5', 'E)15']",12.5,"Let the total distance of the journey be \( D \) miles.  The train runs at 100 miles/hour for the first \( \frac{1}{4} \) of the journey, which is \( \frac{1}{4} \times D = \frac{D}{4} \) miles.  The time taken to cover this distance at 100 miles/hour is given by: \[ \text{Time} = \frac{\text{Distance}}{\text{Speed}} = \frac{\frac{D}{4}}{100} = \frac{D}{400} \text{ hours} \]  After covering this distance, the train slows down to 75 miles/hour for the remaining \( \frac{3}{4} \) of the journey, which is \( \frac{3D}{4} \) miles.  The time taken to cover this distance at 75 miles/hour is given by: \[ \text{Time} = \frac{\text{Distance}}{\text{Speed}} = \frac{\frac{3D}{4}}{75} = \frac{3D}{300} = \frac{D}{100} \text{ hours} \]  The total time taken for the journey is the sum of the times taken for each part of the journey: \[ \text{Total Time} = \frac{D}{400} + \frac{D}{100} = \frac{D}{400} + \frac{4D}{400} = \frac{5D}{400} \text{ hours} \]  Given that the total journey duration is 10 hours, we have: \[ \frac{5D}{400} = 10 \] \[ 5D = 400 \times 10 \] \[ 5D = 4000 \] \[ D = \frac{4000}{5} = 800 \]  Therefore, the total journey duration is: \[ \frac{5 \times 800}{400} = 10 \text{ hours} \]  # \text{Total journey duration is 10 hours.}",,10.0
"Of the 200 students in a school, at least 45% attended the prom night and at least 35% took part in the debating session. What is the maximum number of students who could have neither attended the prom night nor the debating session? ['A)27', 'B)81', 'C)90', 'D)99', 'E)110']",110,"Let's find the maximum number of students who could have neither attended the prom night nor the debating session.  If at least 45% attended the prom night, then at most 55% did not attend the prom night. Similarly, if at least 35% took part in the debating session, then at most 65% did not take part in the debating session.  Let's find the maximum number of students who could have neither attended the prom night nor the debating session: Maximum number of students who did not attend the prom night = 55% of 200 = 0.55 * 200 = 110 Maximum number of students who did not take part in the debating session = 65% of 200 = 0.65 * 200 = 130  Now, to find the maximum number of students who could have neither attended the prom night nor the debating session, we need to find the intersection of these two sets (students who did not attend the prom night and students who did not take part in the debating session).  The maximum number of students who could have neither attended the prom night nor the debating session = Maximum number of students who did not attend the prom night + Maximum number of students who did not take part in the debating session - Total number of students = 110 + 130 - 200 = 240 - 200 = 40  Therefore, the maximum number of students who could have neither attended the prom night nor the debating session is 40.  # 40",,40.0
"A sales person gets a 10% commission on each sale he makes. How many sales of $250 each must he make in order to reach a salary of at least $1000? ['A)15', 'B)24', 'C)25', 'D)40', 'E)52']",40,"Let the number of sales the salesperson needs to make be \(x\).  The total commission the salesperson will earn from \(x\) sales of $250 each is \(0.10 \times 250 \times x = 25x\).  We want the total commission to be at least $1000, so we set up the inequality:  \[25x \geq 1000\]  Solving for \(x\):  \[x \geq \frac{1000}{25}\]  \[x \geq 40\]  Therefore, the salesperson must make at least 40 sales of $250 each to reach a salary of at least $1000.  # \(x = 40\)",,40.0
