Winter is almost here and most animals are migrating to warmer countries. There are 41 bird families living near the mountain. If 35 bird families flew away to asia and 62 bird families flew away to africa How many more bird families flew away to africa than those that flew away to asia?,27,"To find out how many more bird families flew away to Africa than those that flew away to Asia, we need to compare the number of bird families that flew to each location.  1. The number of bird families that flew away to Asia is 35. 2. The number of bird families that flew away to Africa is 62.  Now, we calculate the difference:  Number of bird families that flew to Africa - Number of bird families that flew to Asia = 62 - 35.  Calculating this gives us:  62 - 35 = 27.  Thus, there are 27 more bird families that flew away to Africa than those that flew away to Asia.  # 27",,27
Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,4,"To find out how many fish disappeared, we first need to determine the total number of fish Paige originally had.   Paige raised: - 7 goldfish - 12 catfish  The total number of fish she originally had is: \[  7 + 12 = 19  \]  Now, we know that she has 15 fish left. To find out how many fish disappeared, we subtract the number of fish left from the original total: \[  19 - 15 = 4  \]  Thus, the number of fish that disappeared is 4.  # 4",,4
Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,16,"To find out how much Marco's dad's strawberries weigh now, we can follow these steps:  1. Initially, Marco and his dad collected strawberries that weighed a total of 22 pounds. 2. On the way back, they found an additional 30 pounds of strawberries. 3. Marco's strawberries now weigh 36 pounds.  Let's denote the initial weight of Marco's dad's strawberries as \( D \).   From the initial collection, we have: \[ M + D = 22 \] where \( M \) is the weight of Marco's strawberries.  After finding the additional strawberries, the total weight of strawberries they have is: \[ M + D + 30 \]  Since we know Marco's strawberries now weigh 36 pounds, we can set up the equation: \[ 36 + D + 30 = M + D + 30 \]  Now, we can substitute \( M \) from the first equation into the second equation: From \( M + D = 22 \), we can express \( M \) as: \[ M = 22 - D \]  Substituting this into the total weight equation: \[ 36 + D + 30 = (22 - D) + D + 30 \]  This simplifies to: \[ 36 + D + 30 = 22 + 30 \] \[ 36 + D + 30 = 52 \]  Now, we can solve for \( D \): \[ D + 66 = 52 \] \[ D = 52 - 66 \] \[ D = -14 \]  This indicates that the initial weight of Marco's dad's strawberries was not directly needed to find the current weight. Instead, we can find the current weight of his dad's strawberries by considering the total weight after finding the additional strawberries.  The total weight of strawberries after finding the additional 30 pounds is: \[ 36 + D + 30 = 36 + (22 - M) + 30 \]  Since we know Marco's strawberries weigh 36 pounds, we can find the dad's strawberries: The total weight of strawberries now is: \[ 36 + 30 = 66 \]  Now, we can find the weight of Marco's dad's strawberries: \[ D + 30 = 66 - 36 \] \[ D + 30 = 30 \] \[ D = 30 - 30 \] \[ D = 0 \]  Thus, Marco's dad's strawberries weigh 30 pounds now.  So, the final answer is:  # 30",,30
Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,64,"To determine how many days the soda bottles will last, we first need to find out how many soda bottles Debby has and how many she drinks each day.  1. **Total soda bottles**: Debby bought 256 soda bottles. 2. **Soda bottles consumed per day**: Debby drinks 4 soda bottles each day.  Now, we can calculate how many days the soda bottles will last by dividing the total number of soda bottles by the number of soda bottles consumed per day:  \[ \text{Number of days} = \frac{\text{Total soda bottles}}{\text{Soda bottles consumed per day}} = \frac{256}{4} = 64 \]  Thus, the soda bottles will last for 64 days.  # 64",,64
There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,31,"To find out how much Olivia spent at the supermarket, we can follow these steps:  1. Start with the initial amount of money Olivia had, which is $106. 2. After her shopping, she had $26 left. 3. The amount she spent in total can be calculated by subtracting the amount left from the initial amount:    \[    \text{Total spent} = 106 - 26 = 80 \text{ dollars}    \] 4. We know that she spent $49 at the showroom. To find out how much she spent at the supermarket, we subtract the amount spent at the showroom from the total amount spent:    \[    \text{Amount spent at supermarket} = 80 - 49 = 31 \text{ dollars}    \]  Thus, the amount Olivia spent at the supermarket is $31.  # 31",,31
Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,720,"To find out how many pencils Faye has, we need to calculate the total number of pencils she placed in the rows.   Faye has 24 pencils in each row and there are 30 rows. Therefore, the total number of pencils can be calculated as follows:  Total pencils = Number of rows × Pencils per row Total pencils = 30 × 24  Now, we perform the multiplication:  Total pencils = 30 × 24 = 720  Thus, Faye has a total of 720 pencils.  # 720",,720
Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,21,"Let's break down the problem step by step.  1. We know that Ed had 10 more marbles than Doug.  2. We are given that Ed has 45 marbles.  3. Therefore, we can find out how many marbles Doug had before he lost any by setting up the equation:    \[    \text{Ed's marbles} = \text{Doug's marbles} + 10    \]    Substituting Ed's marbles:    \[    45 = \text{Doug's marbles} + 10    \]    To find Doug's marbles, we rearrange the equation:    \[    \text{Doug's marbles} = 45 - 10 = 35    \]  4. Now, Doug lost 11 marbles at the playground. So, we need to calculate how many marbles Doug has left:    \[    \text{Doug's remaining marbles} = 35 - 11 = 24    \]  5. Finally, we need to find out how many more marbles Ed has than Doug now:    \[    \text{Difference} = \text{Ed's marbles} - \text{Doug's remaining marbles} = 45 - 24 = 21    \]  Thus, Ed has 21 more marbles than Doug after Doug lost some.  # 21",,21
26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,64,"To find the total number of children on the bus now, we start with the number of children already on the bus and add the number of children who got on.  Initially, there are 26 children on the bus. Then, 38 more children get on the bus.   So, we calculate the total as follows:  Total children on the bus = Initial children + Children who got on Total children on the bus = 26 + 38 = 64  Thus, the total number of children on the bus now is 64.  # 64",,64
Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,450,"To find out how many cookies Helen baked until last night, we need to add the number of cookies she baked yesterday, this morning, and the day before yesterday.  1. Cookies baked yesterday: 31 2. Cookies baked this morning: 270 3. Cookies baked the day before yesterday: 419  Now, we sum these amounts:  Total cookies = 31 + 270 + 419  Calculating this step-by-step:  - First, add 31 and 270:   \( 31 + 270 = 301 \)  - Next, add the result to 419:   \( 301 + 419 = 720 \)  Thus, the total number of cookies Helen baked until last night is 720.  # 720",,720
He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,143550,"To find out how many oranges will be harvested after 87 days, we first need to calculate the total number of sacks harvested in that time period.  1. **Calculate the total number of sacks harvested in 87 days:**    \[    \text{Total sacks} = \text{Sacks per day} \times \text{Number of days} = 66 \text{ sacks/day} \times 87 \text{ days}    \]    \[    \text{Total sacks} = 66 \times 87 = 5742 \text{ sacks}    \]  2. **Calculate the total number of oranges harvested:**    Each sack contains 25 oranges, so we multiply the total number of sacks by the number of oranges per sack:    \[    \text{Total oranges} = \text{Total sacks} \times \text{Oranges per sack} = 5742 \text{ sacks} \times 25 \text{ oranges/sack}    \]    \[    \text{Total oranges} = 5742 \times 25 = 143550 \text{ oranges}    \]  Thus, after 87 days of harvest, they will have a total of 143550 oranges.  # 143550",,143550
An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,3,"To find out how many minutes the machine worked yesterday, we first need to determine how many shirts it made yesterday, which is given as 9 shirts.  The machine can make 3 shirts per minute. To find the number of minutes it worked, we can use the formula:  \[ \text{Minutes worked} = \frac{\text{Number of shirts made}}{\text{Shirts made per minute}} \]  Substituting the values we have:  \[ \text{Minutes worked} = \frac{9 \text{ shirts}}{3 \text{ shirts/minute}} = 3 \text{ minutes} \]  Thus, the machine worked for 3 minutes yesterday.  # 3",,3
Bryan took a look at his books and magazines. If he has 9 books and 46 magazines in each of his 10 bookshelves How many magazines does he have in total?,460,"To find the total number of magazines Bryan has, we need to multiply the number of magazines he has on each bookshelf by the total number of bookshelves.  Bryan has 46 magazines on each of his 10 bookshelves. Therefore, the total number of magazines is calculated as follows:  Total magazines = Number of magazines per bookshelf × Number of bookshelves Total magazines = 46 × 10 = 460  Thus, Bryan has a total of 460 magazines.  # 460",,460
Dave had 17 apps on his phone. After adding some he had 18 left. How many apps did he add?,1,"Dave initially had 17 apps on his phone. After adding some apps, he now has 18 apps. To find out how many apps he added, we can set up the equation:  Number of apps added = Final number of apps - Initial number of apps  Substituting the values:  Number of apps added = 18 - 17 = 1  Thus, Dave added 1 app to his phone.  # 1",,1
Dan has $ 4. He bought a candy bar for $ 7 and a chocolate for $ 6. How much money did he spend buying the candy bar and chocolate?,13,"To find out how much money Dan spent on the candy bar and chocolate, we need to add the costs of both items together.  The cost of the candy bar is $7, and the cost of the chocolate is $6.   So, the total amount spent is: \[  7 + 6 = 13  \]  Thus, Dan spent a total of $13 on the candy bar and chocolate.  # 13",,13
The bananas in Philip's collection are organized into 196 groups. If there are a total of 392 bananas in Philip's banana collection How big is each group?,2,"To find out how many bananas are in each group, we need to divide the total number of bananas by the number of groups.  We have: - Total bananas = 392 - Total groups = 196  Now, we perform the division:  \[ \text{Bananas per group} = \frac{\text{Total bananas}}{\text{Total groups}} = \frac{392}{196} \]  Calculating this gives:  \[ \frac{392}{196} = 2 \]  Thus, each group contains 2 bananas.  # 2",,2
The cave is 1218 feet deep and they are already at 849 feet. If they are travelling at speed of 17 How much farther until they reach the end of the cave?,369,"To find out how much farther they need to travel until they reach the end of the cave, we first need to determine the remaining distance to the bottom of the cave.  1. The total depth of the cave is 1218 feet. 2. They are currently at a depth of 849 feet.  Now, we calculate the remaining distance:  Remaining distance = Total depth - Current depth Remaining distance = 1218 feet - 849 feet Remaining distance = 369 feet  Thus, they need to travel 369 feet to reach the end of the cave.  # 369",,369
The Ferris wheel in paradise park has 4 seats. If 20 people can ride the wheel at the same time How many people can each seat hold?,5,"To find out how many people each seat can hold, we need to divide the total number of people who can ride the Ferris wheel by the number of seats.  The total number of people that can ride the Ferris wheel is 20, and the number of seats is 4.  Now, we perform the division:  \[ \text{People per seat} = \frac{\text{Total people}}{\text{Number of seats}} = \frac{20}{4} = 5 \]  Thus, each seat can hold 5 people.  # 5",,5
A farmer had 177 tomatoes and 12 potatoes in his garden. If he picked 53 tomatoes How many tomatoes and potatoes does he have left?,136,"To find out how many tomatoes and potatoes the farmer has left, we start with the initial quantities:  - Initial tomatoes: 177 - Initial potatoes: 12  The farmer picked 53 tomatoes, so we need to subtract that from the initial number of tomatoes:  Remaining tomatoes = Initial tomatoes - Picked tomatoes Remaining tomatoes = 177 - 53 = 124  The number of potatoes remains unchanged since none were picked:  Remaining potatoes = Initial potatoes = 12  Now, we can summarize the remaining quantities:  - Remaining tomatoes: 124 - Remaining potatoes: 12  To find the total number of tomatoes and potatoes left, we add the remaining quantities together:  Total remaining = Remaining tomatoes + Remaining potatoes Total remaining = 124 + 12 = 136  Thus, the farmer has 124 tomatoes and 12 potatoes left.  # 136",,136
Danny collects bottle caps. He lost 66 bottle caps at the park. Now he has 25 bottle caps in his collection. How many bottle caps did danny have at first?,91,"To find out how many bottle caps Danny had at first, we can set up the equation based on the information given.  Let \( x \) be the number of bottle caps Danny had initially. According to the problem, he lost 66 bottle caps and now has 25 bottle caps left. We can express this as:  \[ x - 66 = 25 \]  To find \( x \), we can add 66 to both sides of the equation:  \[ x = 25 + 66 \]  Calculating the right side gives:  \[ x = 91 \]  Thus, Danny had 91 bottle caps at first.  # 91",,91
"Jack received 4 emails in the morning, 5 emails in the afternoon and 8 emails in the evening. How many emails did Jack receive in the afternoon and evening?",13,"To find out how many emails Jack received in the afternoon and evening, we need to add the number of emails he received during those times.  Jack received: - 5 emails in the afternoon - 8 emails in the evening  Now, we add these two amounts together:  5 (afternoon) + 8 (evening) = 13 emails  Thus, the total number of emails Jack received in the afternoon and evening is 13.  # 13",,13
Paco had 22 sweet cookies and 75 salty cookies. He ate 15 sweet cookies and 54 salty cookies. How many sweet cookies did Paco have left?,7,"To find out how many sweet cookies Paco has left, we start with the number of sweet cookies he initially had and subtract the number he ate.  1. Paco initially had 22 sweet cookies. 2. He ate 15 sweet cookies.  Now, we calculate the remaining sweet cookies:  Remaining sweet cookies = Initial sweet cookies - Eaten sweet cookies   Remaining sweet cookies = 22 - 15 = 7  Thus, Paco has 7 sweet cookies left.  # 7",,7
The ring toss game at the carnival made the same amount of money each day. In total in 5 days they earned 165 dollars. How much did they make per day?,33,"To find out how much money was made per day, we need to divide the total amount earned by the number of days.  The total amount earned over 5 days is $165.   To find the daily earnings, we perform the following calculation:  \[ \text{Daily earnings} = \frac{\text{Total earnings}}{\text{Number of days}} = \frac{165}{5} \]  Calculating this gives:  \[ \frac{165}{5} = 33 \]  Thus, they made $33 per day.  # 33",,33
Dave had 24 files and 13 apps on his phone. After deleting some apps and files he had 17 apps and 21 files left. How many files did he delete?,3,"To find out how many files Dave deleted, we start with the initial number of files he had and the number he has left.  1. Initially, Dave had 24 files. 2. After deleting some files, he has 21 files left.  To find the number of files deleted, we subtract the number of files left from the initial number of files:  Number of files deleted = Initial number of files - Number of files left = 24 - 21 = 3  Thus, Dave deleted 3 files.  # 3",,3
In a school there are 569 girls and 236 boys. How many more girls than boys does the school have?,333,"To find out how many more girls than boys there are in the school, we need to subtract the number of boys from the number of girls.  The number of girls is 569 and the number of boys is 236.  Now, we perform the subtraction:  569 (girls) - 236 (boys) = 333  Thus, there are 333 more girls than boys in the school.  # 333",,333
Rebecca wants to split a collection of eggs into groups of 11. If each group has 2 eggs How many eggs does Rebecca have?,22,"To find out how many eggs Rebecca has, we need to determine the total number of eggs based on the information given.   Rebecca wants to split her collection of eggs into groups of 11, and each group has 2 eggs. This means that the total number of eggs can be calculated by multiplying the number of groups by the number of eggs in each group.  Let \( x \) be the number of groups. Since each group has 2 eggs, the total number of eggs \( E \) can be expressed as:  \[ E = 11 \times x \]  However, we also know that each group contains 2 eggs, so we can set up the equation:  \[ E = 2 \times \text{(number of groups)} \]  Since we are looking for the total number of eggs that can be divided into groups of 11, we can set \( x = 11 \) (the number of eggs in each group) and solve for \( E \):  \[ E = 11 \times 2 = 22 \]  Thus, Rebecca has a total of 22 eggs.  # 22",,22
Mary is baking a cake. The recipe calls for 7 cups of sugar and 10 cups of flour. She already put in 4 cups of sugar. How many more cups of sugar does she need to add?,3,"To find out how many more cups of sugar Mary needs to add, we start with the total amount of sugar required for the cake, which is 7 cups.   Mary has already added 4 cups of sugar. Therefore, the amount of sugar she still needs to add is calculated as follows:  7 cups (total sugar needed) - 4 cups (sugar already added) = 3 cups.  Thus, Mary needs to add 3 more cups of sugar.  # 3",,3
Dave had 21 apps on his phone. He added 89 new apps. After deleting some he had 24 left. How many more apps did he add than he deleted?,3,"To find out how many more apps Dave added than he deleted, we can follow these steps:  1. Start with the number of apps Dave had initially: 21 apps. 2. He added 89 new apps, so the total number of apps after adding is:    \[    21 + 89 = 110 \text{ apps}    \] 3. After deleting some apps, he had 24 apps left. To find out how many apps he deleted, we subtract the number of apps he has left from the total number of apps he had after adding:    \[    110 - 24 = 86 \text{ apps deleted}    \] 4. Now, we need to find out how many more apps he added than he deleted. He added 89 apps and deleted 86 apps, so the difference is:    \[    89 - 86 = 3    \]  Thus, Dave added 3 more apps than he deleted.  # 3",,3
During summer break 202958 kids from Lawrence county go to camp and the other 777622 kids stay home. How many more kids stayed home compared to those who went to the camp?,574664,"To find out how many more kids stayed home compared to those who went to camp, we need to subtract the number of kids who went to camp from the number of kids who stayed home.  The number of kids who stayed home is 777,622, and the number of kids who went to camp is 202,958.  Now, we perform the subtraction:  777,622 - 202,958 = 574,664  Thus, the number of more kids that stayed home compared to those who went to camp is 574,664.  # 574664",,574664
