"A car is being driven, in a straight line and at a uniform speed, towards the base of a vertical tower. The top of the tower is observed from the car and, in the process, it takes 10 minutes for the angle of elevation to change from 45° to 60°. After how much more time will this car reach the base of the tower? ['A)5(√3 + 1)', 'B)6(√3 + √2)', 'C)7(√3 – 1)', 'D)8(√3 – 2)', 'E)None of these']",5(√3 + 1),"Let the distance between the car and the base of the tower be $d$ and let the height of the tower be $h$.   When the angle of elevation changes from 45° to 60°, the car has traveled a horizontal distance $x$ such that $\tan(60^\circ) = \frac{h}{d+x}$ and $\tan(45^\circ) = \frac{h}{d}$.   Solving these equations, we get $d = h(\sqrt{3}-1)$ and $x = h$.   Therefore, the total distance the car needs to travel to reach the base of the tower is $d+x = h(\sqrt{3}-1) + h = h(\sqrt{3} + 1)$.  The time taken to travel this distance is the same as the time taken to change the angle of elevation from 45° to 60°, which is 10 minutes.  So, the car will reach the base of the tower after 10 more minutes.  # $10$",,10.0
"The original price of an item is discounted 22%. A customer buys the item at this discounted price using a $20-off coupon. There is no tax on the item, and this was the only item the customer bought. If the customer paid $1.90 more than half the original price of the item, what was the original price of the item? ['A)$61', 'B)$65', 'C)$67.40', 'D)$70', 'E)$78.20']",$78.20,"Let's denote the original price of the item as $x.  After a 22% discount, the price becomes 0.78x (since 22% of x is discounted).  After applying the $20-off coupon, the customer pays 0.78x - 20.  According to the given information, the customer paid $1.90 more than half the original price of the item:  0.78x - 20 = 0.5x + 1.90  Solving for x:  0.78x - 0.5x = 20 + 1.90 0.28x = 21.90 x = 21.90 / 0.28 x = 78.2142857...  Therefore, the original price of the item was $78.20.  # $78.20",,78.2
"Find out which of the following values is the multiple of X, if it is divisible by 9 and 12? ['A)36', 'B)15', 'C)17', 'D)5', 'E)7']",36,"To find the value that is a multiple of both 9 and 12, we need to find the least common multiple (LCM) of 9 and 12.  The prime factorization of 9 is $3^2$ and the prime factorization of 12 is $2^2 \times 3$.  To find the LCM, we take the highest power of each prime that appears in the factorization of both numbers. So, the LCM of 9 and 12 is $2^2 \times 3^2 = 36$.  Therefore, the value that is a multiple of both 9 and 12 is 36.  # Answer  36",,36.0
"If the probability that Stock A will increase in value during the next month is 0.56, and the probability that Stock B will increase in value during the next month is 0.74. What is the greatest value for the probability that neither of these two events will occur? ['A)0.22', 'B)0.26', 'C)0.37', 'D)0.46', 'E)0.63']",0.26,"To find the probability that neither Stock A nor Stock B will increase in value, we can use the complement rule. The complement of at least one of the events happening is none of the events happening.  Let event A be the event that Stock A increases in value, and event B be the event that Stock B increases in value.  The probability that neither Stock A nor Stock B will increase is given by:  P(neither A nor B) = 1 - P(A or B)  Since Stock A and Stock B are independent events, the probability that at least one of them will increase is given by:  P(A or B) = P(A) + P(B) - P(A and B)  P(A and B) = P(A) * P(B)  (since Stock A and Stock B are independent)  Substitute the given probabilities:  P(A or B) = P(A) + P(B) - P(A) * P(B) P(A or B) = 0.56 + 0.74 - 0.56 * 0.74 P(A or B) = 0.56 + 0.74 - 0.4144 P(A or B) = 0.8856  Now, calculate the probability that neither Stock A nor Stock B will increase:  P(neither A nor B) = 1 - P(A or B) P(neither A nor B) = 1 - 0.8856 P(neither A nor B) = 0.1144  Therefore, the greatest value for the probability that neither of these two events will occur is 0.1144, which is closest to 0.26.  # 0.26",,0.26
"A trader sold an article at a profit of 20% for Rs.360. What is the cost price of the article? ['A)270', 'B)300', 'C)280', 'D)320', 'E)315']",300,Let the cost price of the article be x.  Selling price = Cost price + Profit 360 = x + 0.20x 360 = 1.20x x = 360 / 1.20 x = 300  #300,,300.0
"20 marbles were pulled out of a bag of only white marbles, painted black, and then put back in. Then, another 20 marbles were pulled out, of which 1 was black, after which they were all returned to the bag. If the percentage of black marbles pulled out the second time represents their percentage in the bag, how many marbles in total Q does the bag currently hold? ['A)40', 'B)200', 'C)380', 'D)400', 'E)3200']",400,"Let's denote the total number of marbles in the bag as $Q$.   After the first 20 marbles were pulled out and painted black, the number of black marbles in the bag increased by 20, but the total number of marbles in the bag remained the same.   Let $x$ be the number of black marbles in the bag initially. After the first 20 marbles were pulled out and painted black, the number of black marbles in the bag became $x+20$.   Now, after the second 20 marbles were pulled out, 1 of them was black. This means that the percentage of black marbles pulled out the second time is $\frac{1}{20} \times 100\% = 5\%$.   Since the percentage of black marbles pulled out the second time represents their percentage in the bag, we can set up the following equation:  \[\frac{x+20}{Q} = 0.05\]  Solving for $Q$:  \[x+20 = 0.05Q\] \[x = 0.05Q - 20\]  Since the total number of marbles in the bag is $Q$, the total number of black marbles in the bag is $0.05Q - 20$.   Now, we know that initially there were $x$ black marbles in the bag. After the first 20 marbles were pulled out and painted black, the number of black marbles in the bag became $x+20$.   Therefore, we have:  \[x+20 = 0.05Q - 20\] \[x = 0.05Q - 40\]  Since $x$ represents the initial number of black marbles in the bag, it must be a whole number. This means that $0.05Q - 40$ must be a multiple of 1.   Let's try the answer choices:  A) $Q = 40$ $0.05 \times 40 - 40 = 0$, which is a multiple of 1.   Therefore, the total number of marbles in the bag is 40.  # \[Q = 40\]",,40.0
"Find the total no. of distinct bike no.'s that can beformed using 2 letters followed by 2 no.'s. How many letters need to be distinct? ['A)74453', 'B)64543', 'C)74325', 'D)65000', 'E)97656']",65000,"To find the total number of distinct bike numbers that can be formed using 2 letters followed by 2 numbers, we need to consider the following:  1. The number of ways to choose 2 distinct letters from the 26 letters of the alphabet. 2. The number of ways to choose 2 distinct numbers from 0 to 9.  For the first part, the number of ways to choose 2 distinct letters from 26 is given by the combination formula: \[ \binom{26}{2} = \frac{26!}{2!(26-2)!} = \frac{26 \times 25}{2} = 325 \]  For the second part, the number of ways to choose 2 distinct numbers from 0 to 9 is given by the combination formula: \[ \binom{10}{2} = \frac{10!}{2!(10-2)!} = \frac{10 \times 9}{2} = 45 \]  To find the total number of distinct bike numbers, we multiply the number of ways for the letters and the numbers: \[ 325 \times 45 = 14625 \]  Therefore, the total number of distinct bike numbers that can be formed is 14625.  # \[ 14625 \]",,14625.0
"A train running at a speed of 100 miles/hour, takes 10 hours to reach its destination. After covering quarter of the distance, it starts raining and the train has to be slowed to speed of 75 miles/hour. What is the total journey duration? ['A)10', 'B)11.5', 'C)12.5', 'D)13.5', 'E)15']",12.5,"Let the total distance be $D$ miles.  The time taken to cover the first quarter of the distance at 100 miles/hour is $\frac{D}{4 \times 100} = \frac{D}{400}$ hours.  The remaining distance to be covered is $\frac{3D}{4}$ miles.  At 75 miles/hour, the time taken to cover this distance is $\frac{3D}{4 \times 75} = \frac{D}{100}$ hours.  The total time taken for the journey is $\frac{D}{400} + \frac{D}{100} = \frac{5D}{400}$ hours.  Given that the total journey duration is 10 hours, we have $\frac{5D}{400} = 10$.  Solving for $D$, we get $D = 2000$ miles.  Therefore, the total journey duration is $\frac{5 \times 2000}{400} = 25$ hours.  #   25",,25.0
"Of the 200 students in a school, at least 45% attended the prom night and at least 35% took part in the debating session. What is the maximum number of students who could have neither attended the prom night nor the debating session? ['A)27', 'B)81', 'C)90', 'D)99', 'E)110']",110,"Let's denote the number of students who attended the prom night as $P$ and the number of students who took part in the debating session as $D$. We are given that at least 45% attended the prom night and at least 35% took part in the debating session.   Therefore, we have the following inequalities: $P \geq 0.45 \times 200 = 90$ and $D \geq 0.35 \times 200 = 70$.  We want to find the maximum number of students who could have neither attended the prom night nor the debating session. This is equivalent to finding the minimum number of students who attended either the prom night or the debating session or both.  The minimum number of students who attended either the prom night or the debating session or both is given by $P + D - 200$.  Substitute the minimum values of $P$ and $D$ into the expression above: $P + D - 200 \geq 90 + 70 - 200 = 160 - 200 = -40$.  Since the number of students cannot be negative, the minimum number of students who attended either the prom night or the debating session or both is 0. Therefore, the maximum number of students who could have neither attended the prom night nor the debating session is 200 - 0 = 200.  Therefore, the maximum number of students who could have neither attended the prom night nor the debating session is $\boxed{200}$.   # 200",,200.0
"A sales person gets a 10% commission on each sale he makes. How many sales of $250 each must he make in order to reach a salary of at least $1000? ['A)15', 'B)24', 'C)25', 'D)40', 'E)52']",40,"Let $x$ be the number of sales the person needs to make in order to reach a salary of at least $1000.  The total salary the person earns from $x$ sales is $0.10 \times 250 \times x = 25x$.  We want to find the minimum value of $x$ such that $25x \geq 1000$.  Solving the inequality $25x \geq 1000$ gives $x \geq \frac{1000}{25} = 40$.  Therefore, the sales person needs to make at least 40 sales of $250 each to reach a salary of at least $1000.  # Answer # D) 40",,40.0
