Winter is almost here and most animals are migrating to warmer countries. There are 41 bird families living near the mountain. If 35 bird families flew away to asia and 62 bird families flew away to africa How many more bird families flew away to africa than those that flew away to asia?,27,"To find out how many more bird families flew away to Africa than those that flew away to Asia, we first need to calculate the total number of bird families that flew away to each destination.  Total number of bird families = 41  Number of bird families that flew away to Asia = 35  Number of bird families that flew away to Africa = 62  To find the difference between the number of bird families that flew to Africa and Asia, we subtract the number of bird families that flew to Asia from the number of bird families that flew to Africa.  Difference = Number of bird families that flew to Africa - Number of bird families that flew to Asia  Difference = 62 - 35  Difference = 27  Therefore, 27 more bird families flew away to Africa than those that flew away to Asia.  #27",,27.0
Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,4,"To find out how many fishes disappeared, we need to subtract the number of fishes left from the initial total number of fishes Paige had.  Initial total number of fishes = 7 goldfish + 12 catfish = 19 fishes  Number of fishes disappeared = Initial total number of fishes - Number of fishes left Number of fishes disappeared = 19 - 15 Number of fishes disappeared = 4  Therefore, 4 fishes disappeared.  # 4",,4.0
Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,16,"Let's denote the weight of the strawberries Marco collected as $x$ pounds and the weight of the strawberries his dad collected as $y$ pounds.  From the information given in the question, we have the following two equations:  1. $x + y = 22$ (the total weight of strawberries collected by Marco and his dad is 22 pounds) 2. $x + 30 = 36$ (after his dad found 30 more pounds of strawberries, Marco's strawberries weighed 36 pounds)  From equation 1, we can express $y$ in terms of $x$ as $y = 22 - x$.  Substitute this expression for $y$ into equation 2:  $x + 30 = 36$  Solving for $x$:  $x = 36 - 30$  $x = 6$  Now, substitute $x = 6$ back into $y = 22 - x$ to find $y$:  $y = 22 - 6$  $y = 16$  Therefore, Marco's dad's strawberries weighed 16 pounds.  # 16",,16.0
Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,64,"Let's first find out how many days the water bottles would last Debby.   Debby bought 200 water bottles and drank 312 water bottles.  So, the number of water bottles left = 200 - 312 = -112.   Since Debby cannot have a negative number of water bottles, we can conclude that the water bottles would not last even a single day.  Now, let's find out how many days the soda bottles would last Debby.  Debby bought 256 soda bottles and drinks 4 soda bottles a day.  So, the number of days the soda bottles would last = 256 / 4 = 64 days.  Therefore, the soda bottles would last Debby for 64 days.  # 64",,64.0
There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,31,"Let's denote the amount Olivia spent at the supermarket as \(x\). We know that Olivia started with 106 dollars, spent \(x\) dollars at the supermarket, and then spent 49 dollars at the showroom. After these expenses, she had 26 dollars left. This can be represented by the equation:  \[106 - x - 49 = 26\]  Solving for \(x\):  \[106 - x - 49 = 26\] \[57 - x = 26\] \[-x = 26 - 57\] \[-x = -31\] \[x = 31\]  Therefore, Olivia spent 31 dollars at the supermarket.  # \(x = 31\)",,31.0
Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,720,"To find the total number of pencils Faye has, we first need to find the total number of pencils in all the rows.  Each row has 24 pencils, and there are 30 rows. So, the total number of pencils in all the rows is: $24 \text{ pencils/row} \times 30 \text{ rows} = 720$ pencils.  Therefore, Faye has 720 pencils.  #720",,720.0
Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,21,"Let's first find out how many marbles Doug had before he lost 11 marbles.  Let the number of marbles Doug had be represented by D.  Given that Ed had 10 more marbles than Doug, we can represent the number of marbles Ed had as D + 10.  Given that Ed had 45 marbles, we have:  D + 10 = 45  Subtracting 10 from both sides, we get:  D = 35  So, Doug had 35 marbles before he lost 11 marbles. After losing 11 marbles, Doug has:  35 - 11 = 24 marbles  Now, let's find out how many more marbles Ed had than Doug:  Ed had 45 marbles and Doug had 24 marbles.  Difference = 45 - 24 = 21  Therefore, Ed had 21 more marbles than Doug.  # 21",,21.0
26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,64,"To find the total number of children on the bus after 38 more children got on, we need to add the initial number of children to the number of children who got on at the bus stop.  Initial number of children on the bus = 26 Number of children who got on at the bus stop = 38  Total number of children on the bus = 26 + 38  Total number of children on the bus = 64  # 64",,64.0
Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,450,"To find out how many cookies Helen baked till last night, we need to add up the number of cookies she baked each day.  Helen baked: - 31 cookies yesterday - 270 cookies this morning - 419 cookies the day before yesterday  Adding these numbers together: 31 + 270 + 419 = 720  Therefore, Helen baked 720 cookies till last night.  # 720",,720.0
He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,143550,"To find the total number of oranges harvested after 87 days, we first need to find the total number of sacks harvested in 87 days.  Given that they harvest 66 sacks per day, the total number of sacks harvested in 87 days is: Total sacks = 66 sacks/day * 87 days  Next, we need to find the total number of oranges in all the sacks harvested in 87 days. Since each sack contains 25 oranges, the total number of oranges harvested in 87 days is: Total oranges = Total sacks * 25 oranges/sack  Now, we can calculate the total number of oranges harvested after 87 days.   Let's calculate: Total sacks = 66 sacks/day * 87 days = 5742 sacks Total oranges = 5742 sacks * 25 oranges/sack = 143,550 oranges  Therefore, after 87 days of harvest, they will have 143,550 oranges.  # 143,550",,143550.0
An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,3,"Let $x$ be the number of minutes the machine worked yesterday.  The total number of shirts made yesterday can be calculated by multiplying the number of minutes worked by the production rate: $3x = 9$.  Solving for $x$: $x = \frac{9}{3} = 3$.  Therefore, the machine worked for 3 minutes yesterday.  # 3",,3.0
Bryan took a look at his books and magazines. If he has 9 books and 46 magazines in each of his 10 bookshelves How many magazines does he have in total?,460,"To find the total number of magazines Bryan has, we first need to find the total number of magazines in one bookshelf and then multiply by the number of bookshelves.  In one bookshelf, Bryan has 9 books and 46 magazines. So the total number of magazines in one bookshelf is 9 books * 46 magazines/book = 414 magazines.  Since Bryan has 10 bookshelves, the total number of magazines he has is 414 magazines/bookshelf * 10 bookshelves = 4140 magazines.  # 4140",,4140.0
Dave had 17 apps on his phone. After adding some he had 18 left. How many apps did he add?,1,"Let's denote the number of apps Dave added as $x$. Initially, Dave had 17 apps on his phone. After adding $x$ apps, he had 17 + $x$ apps in total. We are given that after adding some apps, he had 18 apps left. This means that 17 + $x$ = 18.  Solving for $x$: 17 + $x$ = 18 $x$ = 18 - 17 $x$ = 1  Therefore, Dave added 1 app to his phone.  # 1",,1.0
Dan has $ 4. He bought a candy bar for $ 7 and a chocolate for $ 6. How much money did he spend buying the candy bar and chocolate?,13,"Let's denote the cost of the candy bar as $7 and the cost of the chocolate as $6.  To find out how much money Dan spent buying the candy bar and chocolate, we need to add the cost of the candy bar and the cost of the chocolate.  $7 (candy bar) + $6 (chocolate) = $13  Therefore, Dan spent $13 buying the candy bar and chocolate.  # $13",,13.0
The bananas in Philip's collection are organized into 196 groups. If there are a total of 392 bananas in Philip's banana collection How big is each group?,2,"Let $x$ be the number of bananas in each group. Since there are 196 groups, the total number of bananas is given by $196x = 392$.   To find the size of each group, we can solve for $x$ by dividing both sides of the equation by 196:  $x = \frac{392}{196} = 2$  Therefore, each group contains 2 bananas.  #  2",,2.0
