Winter is almost here and most animals are migrating to warmer countries. There are 41 bird families living near the mountain. If 35 bird families flew away to asia and 62 bird families flew away to africa How many more bird families flew away to africa than those that flew away to asia?,27,"Let's calculate the total number of bird families that flew away.   35 bird families flew to Asia and 62 bird families flew to Africa, so the total number of bird families that flew away is 35 + 62 = 97.  To find out how many more bird families flew to Africa than to Asia, we need to find the difference between the number of bird families that flew to Africa and the number that flew to Asia.  97 - 35 = 62  Therefore, 62 more bird families flew away to Africa than those that flew away to Asia.  # 62",,62
Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,4,"Paige initially had 7 goldfish and 12 catfish, so she had a total of 7 + 12 = 19 fishes.  After the stray cats ate some of the fishes, she was left with 15 fishes.  Therefore, the number of fishes that disappeared is 19 - 15 = 4 fishes.  # 4",,4
Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,16,"Let the weight of strawberries that Marco collected be \( x \) pounds. Then, the weight of strawberries that his dad collected would be \( 22 - x \) pounds.  After his dad found 30 more pounds of strawberries, the total weight of his dad's strawberries became \( (22 - x) + 30 = 52 - x \) pounds.  Given that Marco's strawberries now weighed 36 pounds, we have the equation:  \[ x + (52 - x) = 36 \]  Solving for \( x \):  \[ 52 - x = 36 - x \] \[ 52 = 36 \] \[ x = 52 - 36 \] \[ x = 16 \]  Therefore, Marco collected 16 pounds of strawberries, and his dad collected \( 22 - 16 = 6 \) pounds of strawberries.  So, his dad's strawberries now weigh 6 pounds.  # \( 6 \)",,6
Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,64,"To find out how many days the soda bottles would last, we first need to determine how many soda bottles Debby has left after drinking 312 water bottles and 4 soda bottles each day.  Debby initially bought 256 soda bottles. She drank 312 water bottles, so she has 256 - 312 = -56 soda bottles left. However, she cannot have a negative number of soda bottles, so we need to consider that she has 0 soda bottles left after drinking all the water bottles.  Now, we need to find out how many days the 256 soda bottles would last if she drinks 4 soda bottles each day.  256 soda bottles / 4 soda bottles per day = 64 days  Therefore, the 256 soda bottles would last Debby 64 days if she drinks 4 soda bottles each day.  # 64",,64
There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,31,"Olivia started with 106 dollars and ended up with 26 dollars. This means she spent 106 - 26 = 80 dollars in total.  If she spent 49 dollars at the showroom, then the amount she spent at the supermarket can be found by subtracting the showroom expenditure from the total amount spent:  80 - 49 = 31  Therefore, Olivia spent 31 dollars at the supermarket.  # 31",,31
Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,720,"Let's first find the total number of crayons Faye has:  Total number of crayons = 30 rows * 71 crayons/row = 2130 crayons  Now, let's find the total number of pencils Faye has:  Total number of pencils = 30 rows * 24 pencils/row = 720 pencils  Therefore, Faye has 720 pencils.  #720",,720
Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,21,"Let's denote the number of marbles Doug had as $x$. Since Ed had 10 more marbles than Doug, Ed had $x + 10$ marbles.  We are given that Doug lost 11 marbles, so after losing marbles, Doug has $x - 11$ marbles.  We are also given that Ed had 45 marbles, so we have the equation $x + 10 = 45$.  Solving for $x$: $x = 45 - 10 = 35$.  So, Doug had 35 marbles initially. After losing 11 marbles, Doug has $35 - 11 = 24$ marbles.  Now, we can find how many more marbles Ed had than Doug: $Ed's\ marbles - Doug's\ marbles = (x + 10) - (x - 11) = 10 + 11 = 21$.  Therefore, Ed had 21 more marbles than Doug.   # 21",,21
26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,64,"Let's start with the initial number of children on the bus, which is 26. Then, 38 more children got on the bus at the bus stop. Therefore, the total number of children on the bus now is 26 + 38 = 64.  # 64",,64
Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,450,"To find out how many cookies Helen baked till last night, we need to add up the number of cookies she baked each day.  Helen baked 31 cookies yesterday, 270 cookies this morning, and 419 cookies the day before yesterday.  Adding these up: 31 (yesterday) + 270 (this morning) + 419 (day before yesterday) = 720 cookies  Therefore, Helen baked a total of 720 cookies till last night.  # 720",,720
He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,143550,"To find the total number of oranges harvested after 87 days, we first need to find the total number of sacks harvested in 87 days, and then multiply that by the number of oranges in each sack.  Number of sacks harvested in 87 days = 66 sacks/day * 87 days = 5742 sacks  Total number of oranges = 5742 sacks * 25 oranges/sack = 143,550 oranges  # 143550",,143550
