Winter is almost here and most animals are migrating to warmer countries. There are 41 bird families living near the mountain. If 35 bird families flew away to asia and 62 bird families flew away to africa How many more bird families flew away to africa than those that flew away to asia?,27,"Let's calculate the difference between the number of bird families that flew to Africa and the number that flew to Asia.  Number of bird families near the mountain = 41 Number of bird families that flew to Asia = 35 Number of bird families that flew to Africa = 62  Difference = Number that flew to Africa - Number that flew to Asia Difference = 62 - 35 Difference = 27  Therefore, 27 more bird families flew away to Africa than those that flew to Asia.  #27",,27
Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,4,"Let's denote the number of goldfish as \( g \) and the number of catfish as \( c \).  Initially, Paige had 7 goldfish and 12 catfish, so we have: \[ g + c = 7 + 12 = 19 \]  After some of the fishes disappeared due to the stray cats, she was left with 15 fishes, so we have: \[ g + c = 15 \]  Subtracting the first equation from the second, we get: \[ 15 - 19 = 15 - (g + c) \] \[ -4 = 15 - g - c \] \[ g + c = 15 - 4 \] \[ g + c = 11 \]  Therefore, 4 fishes disappeared. # 4",,4
Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,16,"Let x be the weight of strawberries Marco collected and y be the weight of strawberries his dad collected.  From the given information, we have the following equations: 1. x + y = 22 (total weight of strawberries collected by Marco and his dad) 2. y + 30 = 36 (total weight of strawberries collected by his dad after finding more)  Solving the system of equations: From equation 1, we have x = 22 - y.  Substitute x = 22 - y into equation 2: 22 - y + 30 = 36 52 - y = 36 -y = 36 - 52 -y = -16 y = 16  Therefore, Marco's dad's strawberries weighed 16 pounds.  # The answer is 16.",,16
Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,64,"Let's first find out how many water bottles Debby has left after drinking 312 of them: 200 water bottles - 312 water bottles = -112 water bottles  Since Debby cannot have a negative number of water bottles, it means she has run out of water bottles.   Now, let's find out how many soda bottles Debby has left after drinking 4 of them each day: 256 soda bottles - 4 soda bottles/day * x days = 0 soda bottles 256 soda bottles = 4 soda bottles/day * x days x days = 256 soda bottles / 4 soda bottles/day x days = 64 days  Therefore, the soda bottles would last Debby 64 days.  # 64",,64
There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,31,"Let x be the amount Olivia spent at the supermarket.  Olivia started with 106 dollars, spent x dollars at the supermarket, and then spent 49 dollars at the showroom. This means she had 106 - x - 49 = 57 dollars left after visiting the showroom.  After visiting the supermarket and the showroom, Olivia had 26 dollars left. This means:  106 - x - 49 = 26 106 - x = 75 -x = -31 x = 31  Therefore, Olivia spent 31 dollars at the supermarket.  # 31",,31
Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,720,"Let's first find the total number of crayons Faye has: Total number of crayons = 30 rows * 71 crayons/row = 2130 crayons  Now, let's find the total number of pencils Faye has: Total number of pencils = 30 rows * 24 pencils/row = 720 pencils  Therefore, Faye has 720 pencils.   #720",,720
Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,21,"Let's denote the number of marbles Doug had as $x$. Since Ed had 10 more marbles than Doug, Ed had $x + 10$ marbles.  We are given that Doug lost 11 marbles, so after losing marbles, Doug has $x - 11$ marbles.  We are also given that Ed had 45 marbles, so we have the equation $x + 10 = 45$.  Solving for $x$: $x + 10 = 45$ $x = 45 - 10$ $x = 35$  So, Doug had 35 marbles before losing any.  After losing 11 marbles, Doug has $35 - 11 = 24$ marbles.  Ed had $x + 10 = 35 + 10 = 45$ marbles.  Therefore, Ed had 45 - 24 = 21 more marbles than Doug.  # 21",,21
26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,64,Let's add the number of children who were already on the bus to the number of children who got on the bus at the bus stop.  26 children + 38 children = 64 children  # There are 64 children on the bus now.,,64
Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,450,"Let's add up the number of cookies Helen baked each day to find the total number of cookies she baked till last night.  Helen baked: 31 cookies yesterday 270 cookies this morning 419 cookies the day before yesterday  Total number of cookies = 31 + 270 + 419 = 720  Therefore, Helen baked 720 cookies till last night.  # 720",,720
He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,143550,"Let's first find out how many oranges are harvested per day: 66 sacks/day * 25 oranges/sack = 1650 oranges/day  Now, let's find out how many oranges are harvested in 87 days: 1650 oranges/day * 87 days = 143550 oranges  # The oranges harvested after 87 days will be 143550.",,143550
