"A car is being driven, in a straight line and at a uniform speed, towards the base of a vertical tower. The top of the tower is observed from the car and, in the process, it takes 10 minutes for the angle of elevation to change from 45° to 60°. After how much more time will this car reach the base of the tower? ['A)5(√3 + 1)', 'B)6(√3 + √2)', 'C)7(√3 – 1)', 'D)8(√3 – 2)', 'E)None of these']",5(√3 + 1),"Let the distance between the car and the base of the tower be \(d\) and the height of the tower be \(h\).  From the given information, we can form a right triangle with the tower, the car, and the line of sight from the car to the top of the tower. The angle of elevation changes from 45° to 60° as the car moves towards the tower.  Using trigonometry, we can write: \[ \tan(60^\circ) = \frac{h}{d} \quad \text{and} \quad \tan(45^\circ) = \frac{h}{d + x} \]  Given that \(\tan(60^\circ) = \sqrt{3}\) and \(\tan(45^\circ) = 1\), we have: \[ \sqrt{3} = \frac{h}{d} \quad \text{and} \quad 1 = \frac{h}{d + x} \]  From the first equation, we get \(h = \sqrt{3}d\). Substituting this into the second equation, we get: \[ 1 = \frac{\sqrt{3}d}{d + x} \]  Solving for \(x\), we get: \[ d + x = \sqrt{3}d \implies x = (\sqrt{3} - 1)d \]  Therefore, the car will reach the base of the tower after \(x\) distance is covered, which is \((\sqrt{3} - 1)d\) units.  Hence, the correct answer is \(C) 7(\sqrt{3} - 1)\).   #\(7(\sqrt{3} - 1)\)",,1.0
"The original price of an item is discounted 22%. A customer buys the item at this discounted price using a $20-off coupon. There is no tax on the item, and this was the only item the customer bought. If the customer paid $1.90 more than half the original price of the item, what was the original price of the item? ['A)$61', 'B)$65', 'C)$67.40', 'D)$70', 'E)$78.20']",$78.20,"Let the original price of the item be $x.  After a 22% discount, the customer pays 78% of the original price: 0.78x.  The customer also uses a $20-off coupon, so the final price paid is 0.78x - 20.  According to the given information, the customer paid $1.90 more than half the original price, which can be expressed as:  0.78x - 20 = 0.5x + 1.90.  Solving for x:  0.78x - 0.5x = 20 + 1.90, 0.28x = 21.90, x = 21.90 / 0.28, x = 78.2142857.  Therefore, the original price of the item was $78.20.  # $78.20",,78.2
"Find out which of the following values is the multiple of X, if it is divisible by 9 and 12? ['A)36', 'B)15', 'C)17', 'D)5', 'E)7']",36,"To find the number that is divisible by both 9 and 12, we need to find the least common multiple (LCM) of 9 and 12.  The prime factorization of 9 is 3 * 3. The prime factorization of 12 is 2 * 2 * 3.  The LCM of 9 and 12 is the product of the highest power of all prime factors involved. So, LCM(9, 12) = 2 * 2 * 3 * 3 = 36.  Therefore, the number that is divisible by both 9 and 12 is 36.  # 36",,36.0
"If the probability that Stock A will increase in value during the next month is 0.56, and the probability that Stock B will increase in value during the next month is 0.74. What is the greatest value for the probability that neither of these two events will occur? ['A)0.22', 'B)0.26', 'C)0.37', 'D)0.46', 'E)0.63']",0.26,"Let event A be the event that Stock A increases in value, and event B be the event that Stock B increases in value.  The probability that neither of these two events will occur is given by the complement of the union of the two events:  P(neither A nor B) = 1 - P(A or B)  By the principle of inclusion-exclusion:  P(A or B) = P(A) + P(B) - P(A and B)  Given: P(A) = 0.56 P(B) = 0.74  Since the events are independent, P(A and B) = P(A) * P(B)  P(A and B) = 0.56 * 0.74 = 0.4144  Therefore, P(A or B) = 0.56 + 0.74 - 0.4144 = 0.8856  Finally, P(neither A nor B) = 1 - 0.8856 = 0.1144  Therefore, the greatest value for the probability that neither of these two events will occur is 0.1144.  # 0.1144",,0.1144
"A trader sold an article at a profit of 20% for Rs.360. What is the cost price of the article? ['A)270', 'B)300', 'C)280', 'D)320', 'E)315']",300,"Let the cost price of the article be x.  The selling price of the article is Rs.360, which is a 20% profit on the cost price: Selling Price = Cost Price + Profit 360 = x + 0.20x 360 = 1.20x x = 360 / 1.20 x = 300  Therefore, the cost price of the article is Rs.300.  # 300",,300.0
"20 marbles were pulled out of a bag of only white marbles, painted black, and then put back in. Then, another 20 marbles were pulled out, of which 1 was black, after which they were all returned to the bag. If the percentage of black marbles pulled out the second time represents their percentage in the bag, how many marbles in total Q does the bag currently hold? ['A)40', 'B)200', 'C)380', 'D)400', 'E)3200']",400,"Let's denote the total number of marbles in the bag as \(x\). After the first 20 marbles were pulled out, painted black, and put back in, the number of black marbles in the bag became 1. This means that the first 20 marbles pulled out were all white.  So, after the first 20 marbles were pulled out and painted black, the bag contained \(x\) marbles with 1 black marble and 19 white marbles.  When another 20 marbles were pulled out, 1 of them was black. This means that the total number of black marbles in the bag is now 2 (1 from the first batch and 1 from the second batch).  We can set up the following equation based on the information above:  \(\frac{2}{x} = \frac{1}{20}\)  Solving for \(x\):  \(2 \times 20 = x\)  \(x = 40\)  # \(\boxed{40}\)",,40.0
"Find the total no. of distinct bike no.'s that can beformed using 2 letters followed by 2 no.'s. How many letters need to be distinct? ['A)74453', 'B)64543', 'C)74325', 'D)65000', 'E)97656']",65000,"To find the total number of distinct bike numbers that can be formed using 2 letters followed by 2 numbers, we need to consider the following:  - There are 26 letters in the English alphabet (A-Z). - There are 10 digits (0-9) for the numbers.  To form a bike number with 2 letters followed by 2 numbers, we have the following options: - The first letter can be any of the 26 letters. - The second letter can also be any of the 26 letters. - The first number can be any of the 10 digits. - The second number can also be any of the 10 digits.  Therefore, the total number of distinct bike numbers that can be formed is: Total = (Number of options for the first letter) * (Number of options for the second letter) * (Number of options for the first number) * (Number of options for the second number) Total = 26 * 26 * 10 * 10 Total = 67600  #67600",,67600.0
"A train running at a speed of 100 miles/hour, takes 10 hours to reach its destination. After covering quarter of the distance, it starts raining and the train has to be slowed to speed of 75 miles/hour. What is the total journey duration? ['A)10', 'B)11.5', 'C)12.5', 'D)13.5', 'E)15']",12.5,"Let the total distance be \( D \) miles.  The train covers a quarter of the distance at a speed of 100 miles/hour in \( \frac{D}{4 \times 100} \) hours.  The remaining distance is \( \frac{3D}{4} \) miles.  At a speed of 75 miles/hour, the train takes \( \frac{3D}{4 \times 75} \) hours to cover the remaining distance.  The total journey duration is \( \frac{D}{400} + \frac{3D}{300} = \frac{D}{400} + \frac{D}{100} = \frac{5D}{400} \) hours.  Given that the total journey duration is 10 hours, we have:  \[ \frac{5D}{400} = 10 \]  \[ 5D = 400 \times 10 \]  \[ D = 400 \times 2 = 800 \]  Therefore, the total journey duration is 10 hours.  # 10",,10.0
"Of the 200 students in a school, at least 45% attended the prom night and at least 35% took part in the debating session. What is the maximum number of students who could have neither attended the prom night nor the debating session? ['A)27', 'B)81', 'C)90', 'D)99', 'E)110']",110,"Let's first find the maximum number of students who attended the prom night and the debating session.  45% of 200 students attended the prom night, which is 0.45 * 200 = 90 students. 35% of 200 students took part in the debating session, which is 0.35 * 200 = 70 students.  Now, let's find the maximum number of students who could have attended both events. This is the minimum of the number of students who attended each event, which is 70 students.  Therefore, the maximum number of students who could have neither attended the prom night nor the debating session is: Total students - (Students attended prom + Students attended debate - Students attended both) = 200 - (90 + 70 - 70) = 200 - 90 = 110  # 110",,110.0
"A sales person gets a 10% commission on each sale he makes. How many sales of $250 each must he make in order to reach a salary of at least $1000? ['A)15', 'B)24', 'C)25', 'D)40', 'E)52']",40,"Let's denote the number of sales the person needs to make as \(x\).  The total commission the salesperson will earn from \(x\) sales of $250 each is \(0.10 \times 250 \times x\).  We want this total commission to be at least $1000, so we can set up the following inequality:  \[0.10 \times 250 \times x \geq 1000\]  Solving for \(x\):  \[25x \geq 1000\]  \[x \geq \frac{1000}{25}\]  \[x \geq 40\]  Therefore, the salesperson must make at least 40 sales of $250 each to reach a salary of at least $1000.  # \(\boxed{D)40}\)",,40.0
