Winter is almost here and most animals are migrating to warmer countries. There are 41 bird families living near the mountain. If 35 bird families flew away to asia and 62 bird families flew away to africa How many more bird families flew away to africa than those that flew away to asia?,27,"To find out how many more bird families flew away to Africa than those that flew away to Asia, we first need to calculate the total number of bird families that flew away to each destination.  Total number of bird families near the mountain = 41  Number of bird families that flew away to Asia = 35  Number of bird families that flew away to Africa = 62  Total number of bird families that flew away = Number to Asia + Number to Africa Total number of bird families that flew away = 35 + 62 Total number of bird families that flew away = 97  Now, to find out how many more bird families flew away to Africa than those that flew away to Asia, we subtract the number of bird families that flew to Asia from the number that flew to Africa.  Difference = Number to Africa - Number to Asia Difference = 62 - 35 Difference = 27  Therefore, 27 more bird families flew away to Africa than those that flew away to Asia.",,27
Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,4,"To find out how many fish disappeared, we can subtract the number of fish left from the total number of fish Paige originally had:  Total number of fish Paige had = 7 goldfish + 12 catfish = 19 fish Number of fish disappeared = Total number of fish - Number of fish left Number of fish disappeared = 19 fish - 15 fish Number of fish disappeared = 4 fish  Therefore, 4 fish disappeared from Paige's pond.",,4
Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,16,"Let's denote the weight of Marco's strawberries as x pounds and the weight of his dad's strawberries as y pounds.  From the information given, we have the following equations:  1. x + y = 22 (the total weight of strawberries collected by Marco and his dad) 2. y + 30 = 36 (the weight of his dad's strawberries after finding 30 more pounds)  From equation 1, we can solve for x:  x = 22 - y  Substitute this into equation 2:  y + 30 = 36 y = 36 - 30 y = 6  Therefore, Marco's dad's strawberries now weigh 6 pounds.",,6
Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,64,"To find out how many days the soda bottles would last, we first need to calculate the total number of soda bottles Debby bought and then divide that by the number of soda bottles she drinks per day.  Debby bought 256 soda bottles. She drinks 4 soda bottles a day.  So, the number of days the soda bottles would last is: 256 soda bottles / 4 soda bottles per day = 64 days  Therefore, the soda bottles would last Debby for 64 days.",,64
There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,31,"Let's denote the amount Olivia spent at the supermarket as \( x \) dollars.  Initially, Olivia had 106 dollars in her wallet. After visiting the supermarket and the showroom, she had 26 dollars left. This means she spent \( 106 - x - 49 \) dollars at the showroom.  Therefore, the total amount spent at both the supermarket and the showroom is \( x + 106 - x - 49 = 106 - 49 = 57 \) dollars.  Since Olivia had 26 dollars left after her visits, we can set up the equation:  \[ x + 106 - x - 49 = 26 \]  Solving for \( x \):  \[ x + 106 - x - 49 = 26 \] \[ 106 - 49 = 26 \] \[ 57 = 26 \]  This equation does not make sense, as 57 is not equal to 26. It seems there may be an error in the information provided.",,26
Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,720,"To find the total number of pencils Faye has, we first need to calculate the total number of items in each row (crayons + pencils) and then subtract the number of crayons in each row to find the number of pencils.  Total items in each row = 71 crayons + 24 pencils = 95 items  Now, to find the number of pencils in each row, we subtract the number of crayons from the total items:  Number of pencils in each row = 95 total items - 71 crayons = 24 pencils  Since there are 24 pencils in each row, and Faye has 30 rows, the total number of pencils she has is:  Total pencils = 24 pencils/row * 30 rows = 720 pencils  Therefore, Faye has 720 pencils.",,720
Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,21,"Let's first find out how many marbles Doug had before he lost 11 marbles.  Let x be the number of marbles Doug had initially.  Given that Ed had 10 more marbles than Doug, we can write:  Ed = x + 10  Given that Ed had 45 marbles, we can write:  45 = x + 10  Solving for x:  x = 45 - 10 x = 35  So, Doug had 35 marbles initially. After losing 11 marbles, Doug has:  35 - 11 = 24 marbles  Now, we can find out how many more marbles Ed had than Doug:  Ed - Doug = 45 - 24 Ed - Doug = 21  Therefore, Ed had 21 more marbles than Doug.",,21
26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,64,"There were initially 26 children on the bus. After 38 more children got on the bus, the total number of children on the bus is:  26 (initial children) + 38 (new children) = 64 children  So, there are now 64 children on the bus.",,64
Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,450,"To find out how many cookies Helen baked till last night, we need to add up the number of cookies she baked each day.  Helen baked: 31 cookies yesterday 270 cookies this morning 419 cookies the day before yesterday  Adding these numbers together: 31 + 270 + 419 = 720  Therefore, Helen baked a total of 720 cookies till last night.",,720
He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,143550,"To find the total number of oranges harvested after 87 days, we first calculate the number of oranges harvested per day:  66 sacks/day * 25 oranges/sack = 1650 oranges/day  Then, we multiply the number of oranges harvested per day by the number of days to get the total number of oranges harvested:  1650 oranges/day * 87 days = 143,550 oranges  Therefore, after 87 days of harvest, they will have 143,550 oranges.",,143550
An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,3,"To find out how many minutes the machine worked yesterday, we first need to calculate the total number of shirts it made yesterday and then divide that by the rate at which it makes shirts.  The machine made 9 shirts yesterday and can make 3 shirts per minute, so it worked for 9 / 3 = 3 minutes yesterday.",,3
Bryan took a look at his books and magazines. If he has 9 books and 46 magazines in each of his 10 bookshelves How many magazines does he have in total?,460,"To find the total number of magazines Bryan has, we first need to calculate the total number of magazines in one bookshelf.   In one bookshelf, Bryan has 9 books and 46 magazines. So, the total number of magazines in one bookshelf is 9 + 46 = 55.  Since Bryan has 10 bookshelves, we can find the total number of magazines by multiplying the number of magazines in one bookshelf by the number of bookshelves:  Total number of magazines = 55 magazines/bookshelf * 10 bookshelves = 550 magazines  Therefore, Bryan has a total of 550 magazines.",,550
Dave had 17 apps on his phone. After adding some he had 18 left. How many apps did he add?,1,"Dave added 1 app.   Let x be the number of apps Dave added. The equation representing the situation is: 17 + x = 18  Solving for x: x = 18 - 17 x = 1  Therefore, Dave added 1 app to his phone.",,1
Dan has $ 4. He bought a candy bar for $ 7 and a chocolate for $ 6. How much money did he spend buying the candy bar and chocolate?,13,"Dan spent $7 on the candy bar and $6 on the chocolate, so the total amount he spent is $7 + $6 = $13.",,13
The bananas in Philip's collection are organized into 196 groups. If there are a total of 392 bananas in Philip's banana collection How big is each group?,2,"To find the size of each group, we can divide the total number of bananas by the number of groups:  392 bananas / 196 groups = 2 bananas per group  Therefore, each group in Philip's collection contains 2 bananas.",,2
The cave is 1218 feet deep and they are already at 849 feet. If they are travelling at speed of 17 How much farther until they reach the end of the cave?,369,"To find out how much farther they need to travel to reach the end of the cave, we can subtract the depth they have already covered from the total depth of the cave.  Total depth of the cave = 1218 feet Depth they have already covered = 849 feet  Therefore, the distance they still need to travel is: 1218 feet - 849 feet = 369 feet  So, they still need to travel 369 feet to reach the end of the cave.",,369
The Ferris wheel in paradise park has 4 seats. If 20 people can ride the wheel at the same time How many people can each seat hold?,5,"If the Ferris wheel has 4 seats and can hold 20 people at the same time, then each seat can hold 20 people divided by 4 seats, which equals 5 people per seat. Therefore, each seat can hold 5 people.",,5
A farmer had 177 tomatoes and 12 potatoes in his garden. If he picked 53 tomatoes How many tomatoes and potatoes does he have left?,136,"After picking 53 tomatoes, the farmer would have 177 - 53 = 124 tomatoes left. Since he didn't pick any potatoes, he would still have 12 potatoes. Therefore, the farmer would have 124 tomatoes and 12 potatoes left in his garden.",,12
Danny collects bottle caps. He lost 66 bottle caps at the park. Now he has 25 bottle caps in his collection. How many bottle caps did danny have at first?,91,"Let's denote the initial number of bottle caps Danny had as x.   After losing 66 bottle caps, he had x - 66 bottle caps left.   Then, if he now has 25 bottle caps, we can set up the equation:  x - 66 = 25  Adding 66 to both sides, we get:  x = 25 + 66 x = 91  Therefore, Danny had 91 bottle caps at first.",,91
"Jack received 4 emails in the morning, 5 emails in the afternoon and 8 emails in the evening. How many emails did Jack receive in the afternoon and evening?",13,"Jack received 5 emails in the afternoon and 8 emails in the evening. Therefore, Jack received a total of 5 + 8 = 13 emails in the afternoon and evening.",,13
Paco had 22 sweet cookies and 75 salty cookies. He ate 15 sweet cookies and 54 salty cookies. How many sweet cookies did Paco have left?,7,"To find out how many sweet cookies Paco had left, we need to subtract the number of sweet cookies he ate from the total number of sweet cookies he had initially.  Paco initially had 22 sweet cookies, and he ate 15 sweet cookies.  Therefore, the number of sweet cookies Paco had left is: 22 (initial sweet cookies) - 15 (sweet cookies he ate) = 7 sweet cookies  So, Paco had 7 sweet cookies left after eating 15 of them.",,15
The ring toss game at the carnival made the same amount of money each day. In total in 5 days they earned 165 dollars. How much did they make per day?,33,"To find out how much they made per day, we can divide the total earnings by the number of days:  Total earnings = $165 Number of days = 5  Amount made per day = Total earnings / Number of days Amount made per day = $165 / 5 Amount made per day = $33  Therefore, they made $33 per day at the ring toss game.",,33
Dave had 24 files and 13 apps on his phone. After deleting some apps and files he had 17 apps and 21 files left. How many files did he delete?,3,"To find out how many files Dave deleted, we can subtract the final number of files from the initial number of files:  Initial number of files = 24 Final number of files = 21  Files deleted = Initial number of files - Final number of files Files deleted = 24 - 21 Files deleted = 3  Therefore, Dave deleted 3 files.",,3
In a school there are 569 girls and 236 boys. How many more girls than boys does the school have?,333,"To find out how many more girls than boys the school has, we need to subtract the number of boys from the number of girls.  569 girls - 236 boys = 333 more girls than boys  Therefore, the school has 333 more girls than boys.",,333
Rebecca wants to split a collection of eggs into groups of 11. If each group has 2 eggs How many eggs does Rebecca have?,22,"Let's denote the total number of eggs as \( x \). Since each group has 2 eggs, we can write the equation:  \( 11 \times 2 = x \)  Solving for \( x \), we get:  \( x = 22 \)  Therefore, Rebecca has 22 eggs.",,22
Mary is baking a cake. The recipe calls for 7 cups of sugar and 10 cups of flour. She already put in 4 cups of sugar. How many more cups of sugar does she need to add?,3,Mary needs to add 7 - 4 = 3 cups of sugar to reach the total of 7 cups required by the recipe.,,7
Dave had 21 apps on his phone. He added 89 new apps. After deleting some he had 24 left. How many more apps did he add than he deleted?,3,"Let x be the number of apps Dave deleted.  Initially, Dave had 21 apps on his phone. He then added 89 new apps, making a total of 21 + 89 = 110 apps.  After deleting some apps, he had 24 left, so the equation can be written as:  110 - x = 24  Solving for x:  x = 110 - 24 x = 86  Therefore, Dave deleted 86 apps.   To find out how many more apps he added than he deleted:  89 - 86 = 3  Dave added 3 more apps than he deleted.",,3
During summer break 202958 kids from Lawrence county go to camp and the other 777622 kids stay home. How many more kids stayed home compared to those who went to the camp?,574664,"To find out how many more kids stayed home compared to those who went to camp, we subtract the number of kids who went to camp from the number of kids who stayed home.  Number of kids who stayed home = 777622 Number of kids who went to camp = 202958  777622 - 202958 = 574664  Therefore, 574664 more kids stayed home compared to those who went to camp.",,574664
The grasshopper and the frog had a jumping contest. The grasshopper jumped 13 inches. The grasshopper jumped 2 inches farther than the grasshopper. How far did the frog jump?,11,"It seems like there might be a typo in the question. Let's assume that the frog jumped 2 inches farther than the grasshopper. If the grasshopper jumped 13 inches, then the frog would have jumped 13 + 2 = 15 inches.",,15
Allan brought 3 balloons and 20 balls while Jake brought 5 balloons and 59 balls to the park. How many balloons did Allan and Jake have in the park?,8,"Allan brought 3 balloons and Jake brought 5 balloons, so together they had 3 + 5 = 8 balloons in the park.",,8
He then went to see the oranges being harvested. He found out that they harvest 8 sacks per day. How many days will it take to harvest 24 sacks of oranges?,3,It will take 3 days to harvest 24 sacks of oranges. This can be calculated by dividing the total number of sacks to be harvested (24) by the number of sacks harvested per day (8).   24 sacks / 8 sacks per day = 3 days,,3
Every day Ryan spends 6 hours on learning english and 5 hours on learning chinese. If he learns for 2 days How many hours does he spend on learning english in all?,12,"In 2 days, Ryan spends a total of 6 hours/day x 2 days = 12 hours on learning English.",,12
Baker made 144 cakes. He sold 71 of them. Then he made 111 more cakes. How many more cakes did baker make than those he sold?,184,"Baker made a total of 144 + 111 = 255 cakes. He sold 71 cakes. Therefore, Baker made 255 - 71 = 184 more cakes than those he sold.",,184
