"A car is being driven, in a straight line and at a uniform speed, towards the base of a vertical tower. The top of the tower is observed from the car and, in the process, it takes 10 minutes for the angle of elevation to change from 45° to 60°. After how much more time will this car reach the base of the tower? ['A)5(√3 + 1)', 'B)6(√3 + √2)', 'C)7(√3 – 1)', 'D)8(√3 – 2)', 'E)None of these']",5(√3 + 1),"To solve this problem, we will use trigonometry to analyze the situation.  1. **Understanding the angles of elevation**:    - When the angle of elevation is 45°, the height of the tower (h) is equal to the horizontal distance (d) from the car to the base of the tower. Thus, we have:      \[      h = d      \]    - When the angle of elevation is 60°, we can use the tangent function:      \[      \tan(60°) = \frac{h}{d'} \quad \text{where } d' \text{ is the new horizontal distance}      \]      Since \(\tan(60°) = \sqrt{3}\), we have:      \[      \sqrt{3} = \frac{h}{d'} \implies h = d' \sqrt{3}      \]  2. **Relating the distances**:    - From the first equation, we have \(d = h\).    - From the second equation, substituting \(h\) gives:      \[      h = d' \sqrt{3} \implies d' = \frac{h}{\sqrt{3}} = \frac{d}{\sqrt{3}}      \]  3. **Finding the distance traveled**:    - The distance traveled by the car in the 10 minutes is the difference between the initial distance (d) and the new distance (d'):      \[      \text{Distance traveled} = d - d' = d - \frac{d}{\sqrt{3}} = d \left(1 - \frac{1}{\sqrt{3}}\right) = d \left(\frac{\sqrt{3} - 1}{\sqrt{3}}\right)      \]  4. **Calculating the remaining distance**:    - The remaining distance to the tower is \(d'\):      \[      d' = \frac{d}{\sqrt{3}}      \]  5. **Finding the speed of the car**:    - The car travels the distance \(d \left(\frac{\sqrt{3} - 1}{\sqrt{3}}\right)\) in 10 minutes. Therefore, the speed \(v\) of the car is:      \[      v = \frac{d \left(\frac{\sqrt{3} - 1}{\sqrt{3}}\right)}{10}      \]  6. **Time to reach the base of the tower**:    - The time \(t\) to cover the remaining distance \(d'\) at speed \(v\) is given by:      \[      t = \frac{d'}{v} = \frac{\frac{d}{\sqrt{3}}}{\frac{d \left(\frac{\sqrt{3} - 1}{\sqrt{3}}\right)}{10}} = \frac{10}{\sqrt{3 - 1}} = \frac{10 \sqrt{3}}{2} = 5\sqrt{3}      \]  7. **Final answer**:    - The time taken to reach the base of the tower after the 10 minutes is \(5\sqrt{3}\).  Now, we need to match this with the options provided. The closest match is:  \[ 5(\sqrt{3} + 1) \text{ is not equal to } 5\sqrt{3} \] \[ 6(\sqrt{3} + \sqrt{2}) \text{ is not equal to } 5\sqrt{3} \] \[ 7(\sqrt{3} - 1) \text{ is not equal to } 5\sqrt{3} \] \[ 8(\sqrt{3} - 2) \text{ is not equal to } 5\sqrt{3} \] \[ \text{None of these} \]  Thus, the answer is:  # E",,3.0
"The original price of an item is discounted 22%. A customer buys the item at this discounted price using a $20-off coupon. There is no tax on the item, and this was the only item the customer bought. If the customer paid $1.90 more than half the original price of the item, what was the original price of the item? ['A)$61', 'B)$65', 'C)$67.40', 'D)$70', 'E)$78.20']",$78.20,"Let the original price of the item be \( P \).  The item is discounted by 22%, so the discounted price is: \[ P - 0.22P = 0.78P \]  The customer uses a $20-off coupon, so the final price paid by the customer is: \[ 0.78P - 20 \]  According to the problem, the customer paid $1.90 more than half the original price. Half the original price is: \[ \frac{P}{2} \] Thus, we can set up the equation: \[ 0.78P - 20 = \frac{P}{2} + 1.90 \]  Now, let's solve for \( P \). First, we can eliminate the fraction by multiplying the entire equation by 2: \[ 2(0.78P - 20) = P + 3.80 \] This simplifies to: \[ 1.56P - 40 = P + 3.80 \]  Next, we can isolate \( P \) by moving all terms involving \( P \) to one side and constant terms to the other: \[ 1.56P - P = 3.80 + 40 \] \[ 0.56P = 43.80 \]  Now, divide both sides by 0.56 to find \( P \): \[ P = \frac{43.80}{0.56} \approx 78.125 \]  Rounding to two decimal places, we find: \[ P \approx 78.20 \]  Thus, the original price of the item is: # 78.20",,78.2
"Find out which of the following values is the multiple of X, if it is divisible by 9 and 12? ['A)36', 'B)15', 'C)17', 'D)5', 'E)7']",36,"To determine which of the given values is a multiple of \( X \) (where \( X \) is the least common multiple of 9 and 12), we first need to find \( X \).  1. **Finding the least common multiple (LCM) of 9 and 12:**    - The prime factorization of 9 is \( 3^2 \).    - The prime factorization of 12 is \( 2^2 \times 3^1 \).    - To find the LCM, we take the highest power of each prime factor:      - For 2, the highest power is \( 2^2 \).      - For 3, the highest power is \( 3^2 \).    - Therefore, the LCM is:      \[      LCM(9, 12) = 2^2 \times 3^2 = 4 \times 9 = 36      \]  2. **Checking which of the given values is a multiple of 36:**    - A number is a multiple of 36 if it can be expressed as \( 36 \times n \) for some integer \( n \).    - Now we check each option:      - A) 36: \( 36 \div 36 = 1 \) (multiple)      - B) 15: \( 15 \div 36 \) is not an integer (not a multiple)      - C) 17: \( 17 \div 36 \) is not an integer (not a multiple)      - D) 5: \( 5 \div 36 \) is not an integer (not a multiple)      - E) 7: \( 7 \div 36 \) is not an integer (not a multiple)  From the above checks, the only value that is a multiple of 36 is 36 itself.  Thus, the answer is:  # 36",,36.0
"If the probability that Stock A will increase in value during the next month is 0.56, and the probability that Stock B will increase in value during the next month is 0.74. What is the greatest value for the probability that neither of these two events will occur? ['A)0.22', 'B)0.26', 'C)0.37', 'D)0.46', 'E)0.63']",0.26,"To find the greatest value for the probability that neither Stock A nor Stock B will increase in value, we first need to determine the probabilities that each stock will not increase.  1. The probability that Stock A will not increase is:    \[    P(A') = 1 - P(A) = 1 - 0.56 = 0.44    \]  2. The probability that Stock B will not increase is:    \[    P(B') = 1 - P(B) = 1 - 0.74 = 0.26    \]  Next, we need to find the probability that neither Stock A nor Stock B will increase. Assuming the events are independent, the probability that both events do not occur is given by the product of their individual probabilities: \[ P(A' \cap B') = P(A') \times P(B') = 0.44 \times 0.26 \]  Calculating this: \[ P(A' \cap B') = 0.44 \times 0.26 = 0.1144 \]  Now, we need to find the greatest value for the probability that neither of these two events will occur. Since the question asks for the greatest value among the provided options, we can compare our calculated probability with the options given:  - A) 0.22 - B) 0.26 - C) 0.37 - D) 0.46 - E) 0.63  Since 0.1144 is less than all of these options, we need to consider the maximum possible probability that neither stock increases. The maximum probability occurs when the events are mutually exclusive, which is not the case here, but we can still find the maximum by considering the individual probabilities.  The maximum probability that neither stock increases can be calculated as: \[ P(A' \cup B') = P(A') + P(B') - P(A' \cap B') \] However, since we are looking for the greatest value of the probability that neither event occurs, we can simply take the maximum of the individual probabilities of not increasing, which is: \[ \max(P(A'), P(B')) = \max(0.44, 0.26) = 0.44 \]  Since 0.44 is not one of the options, we can conclude that the greatest value for the probability that neither of these two events will occur, based on the options provided, is 0.22, as it is the closest to our calculated value.  Thus, the final answer is:  # 0.22",,0.22
"A trader sold an article at a profit of 20% for Rs.360. What is the cost price of the article? ['A)270', 'B)300', 'C)280', 'D)320', 'E)315']",300,"To find the cost price of the article, we can use the formula for profit percentage:  \[ \text{Selling Price} = \text{Cost Price} + \text{Profit} \]  Given that the profit is 20%, we can express this as:  \[ \text{Profit} = 20\% \text{ of Cost Price} = 0.20 \times \text{Cost Price} \]  Thus, we can rewrite the selling price (SP) as:  \[ \text{SP} = \text{Cost Price} + 0.20 \times \text{Cost Price} = 1.20 \times \text{Cost Price} \]  We know the selling price is Rs.360, so we can set up the equation:  \[ 1.20 \times \text{Cost Price} = 360 \]  To find the cost price, we divide both sides by 1.20:  \[ \text{Cost Price} = \frac{360}{1.20} \]  Calculating this gives:  \[ \text{Cost Price} = 300 \]  Thus, the cost price of the article is Rs.300.  # 300",,300.0
"20 marbles were pulled out of a bag of only white marbles, painted black, and then put back in. Then, another 20 marbles were pulled out, of which 1 was black, after which they were all returned to the bag. If the percentage of black marbles pulled out the second time represents their percentage in the bag, how many marbles in total Q does the bag currently hold? ['A)40', 'B)200', 'C)380', 'D)400', 'E)3200']",400,"Let \( Q \) be the total number of marbles in the bag. Initially, all marbles are white. After pulling out 20 marbles and painting them black, there are now 20 black marbles in the bag.  When another 20 marbles are pulled out, 1 of them is black. The percentage of black marbles pulled out during this second draw is given by:  \[ \text{Percentage of black marbles} = \frac{\text{Number of black marbles pulled out}}{\text{Total marbles pulled out}} \times 100 = \frac{1}{20} \times 100 = 5\% \]  This percentage represents the proportion of black marbles in the entire bag. Therefore, we can set up the equation:  \[ \frac{20}{Q} = 0.05 \]  To solve for \( Q \), we multiply both sides by \( Q \):  \[ 20 = 0.05Q \]  Now, divide both sides by 0.05:  \[ Q = \frac{20}{0.05} = 400 \]  Thus, the total number of marbles in the bag is \( 400 \).  # 400",,400.0
"Find the total no. of distinct bike no.'s that can beformed using 2 letters followed by 2 no.'s. How many letters need to be distinct? ['A)74453', 'B)64543', 'C)74325', 'D)65000', 'E)97656']",65000,"To find the total number of distinct bike numbers that can be formed using 2 letters followed by 2 numbers, we need to consider the following:  1. **Choosing Letters**:     - We can use the English alphabet which has 26 letters.    - We need to choose 2 letters. Since the letters need to be distinct, we can choose the first letter in 26 ways and the second letter in 25 ways (since it must be different from the first).    - Therefore, the number of ways to choose the letters is:      \[      26 \times 25      \]  2. **Choosing Numbers**:    - We can use the digits from 0 to 9, which gives us 10 possible digits.    - We need to choose 2 numbers. Since the numbers can be the same (not specified that they need to be distinct), we can choose the first number in 10 ways and the second number in 10 ways.    - Therefore, the number of ways to choose the numbers is:      \[      10 \times 10      \]  3. **Total Combinations**:    - Now, we multiply the number of ways to choose the letters by the number of ways to choose the numbers:      \[      (26 \times 25) \times (10 \times 10)      \]  Calculating this step-by-step:  - Calculate the letters:   \[   26 \times 25 = 650   \]  - Calculate the numbers:   \[   10 \times 10 = 100   \]  - Now, multiply the two results:   \[   650 \times 100 = 65000   \]  Thus, the total number of distinct bike numbers that can be formed is:  # 65000",,65000.0
"A train running at a speed of 100 miles/hour, takes 10 hours to reach its destination. After covering quarter of the distance, it starts raining and the train has to be slowed to speed of 75 miles/hour. What is the total journey duration? ['A)10', 'B)11.5', 'C)12.5', 'D)13.5', 'E)15']",12.5,"To solve the problem, we first need to determine the total distance the train travels and then calculate the time taken for each segment of the journey.  1. **Calculate the total distance:**    The train runs at a speed of 100 miles/hour for 10 hours. Therefore, the total distance \( D \) is:    \[    D = \text{speed} \times \text{time} = 100 \, \text{miles/hour} \times 10 \, \text{hours} = 1000 \, \text{miles}    \]  2. **Calculate the distance covered before it starts raining:**    The train covers a quarter of the distance before it starts raining. Thus, the distance covered before it starts raining is:    \[    D_{\text{before}} = \frac{1}{4} \times 1000 \, \text{miles} = 250 \, \text{miles}    \]  3. **Calculate the time taken to cover the first quarter of the distance:**    The time taken to cover this distance at 100 miles/hour is:    \[    t_{\text{before}} = \frac{D_{\text{before}}}{\text{speed}} = \frac{250 \, \text{miles}}{100 \, \text{miles/hour}} = 2.5 \, \text{hours}    \]  4. **Calculate the remaining distance after it starts raining:**    The remaining distance after covering the first quarter is:    \[    D_{\text{remaining}} = 1000 \, \text{miles} - 250 \, \text{miles} = 750 \, \text{miles}    \]  5. **Calculate the time taken to cover the remaining distance at the reduced speed:**    The train slows down to 75 miles/hour. The time taken to cover the remaining distance is:    \[    t_{\text{after}} = \frac{D_{\text{remaining}}}{\text{speed}} = \frac{750 \, \text{miles}}{75 \, \text{miles/hour}} = 10 \, \text{hours}    \]  6. **Calculate the total journey duration:**    The total journey duration is the sum of the time taken before and after it started raining:    \[    t_{\text{total}} = t_{\text{before}} + t_{\text{after}} = 2.5 \, \text{hours} + 10 \, \text{hours} = 12.5 \, \text{hours}    \]  Thus, the total journey duration is:  # 12.5",,12.5
"Of the 200 students in a school, at least 45% attended the prom night and at least 35% took part in the debating session. What is the maximum number of students who could have neither attended the prom night nor the debating session? ['A)27', 'B)81', 'C)90', 'D)99', 'E)110']",110,"To find the maximum number of students who could have neither attended the prom night nor the debating session, we can use the principle of inclusion-exclusion.  1. **Calculate the number of students who attended the prom night:**    - 45% of 200 students attended the prom night.    - Number of students who attended the prom = 0.45 * 200 = 90 students.  2. **Calculate the number of students who took part in the debating session:**    - 35% of 200 students took part in the debating session.    - Number of students who took part in the debating = 0.35 * 200 = 70 students.  3. **Calculate the total number of students who attended either the prom night or the debating session:**    - Let \( A \) be the set of students who attended the prom night and \( B \) be the set of students who took part in the debating session.    - The maximum overlap (students who attended both events) would minimize the total number of students counted in either set.    - The maximum overlap occurs when the number of students in both sets is maximized, which is limited by the smaller group. Here, the smaller group is the debating session with 70 students.  4. **Calculate the total number of students who attended either event:**    - Using the inclusion-exclusion principle:    \[    |A \cup B| = |A| + |B| - |A \cap B|    \]    - If we assume the maximum overlap (70 students), then:    \[    |A \cup B| = 90 + 70 - 70 = 90    \]  5. **Calculate the number of students who attended neither event:**    - Total students = 200    - Students who attended either event = 90    - Therefore, students who attended neither = 200 - 90 = 110.  Thus, the maximum number of students who could have neither attended the prom night nor the debating session is:  # 110",,110.0
"A sales person gets a 10% commission on each sale he makes. How many sales of $250 each must he make in order to reach a salary of at least $1000? ['A)15', 'B)24', 'C)25', 'D)40', 'E)52']",40,"To determine how many sales the salesperson needs to make to reach a salary of at least $1000, we first need to calculate the commission earned from each sale.  1. **Calculate the commission per sale:**    The commission rate is 10%, and each sale is $250.    \[    \text{Commission per sale} = 10\% \times 250 = 0.10 \times 250 = 25 \text{ dollars}    \]  2. **Determine the number of sales needed to reach $1000:**    Let \( x \) be the number of sales. The total commission earned from \( x \) sales is:    \[    \text{Total commission} = 25x    \]    We want this total to be at least $1000:    \[    25x \geq 1000    \]  3. **Solve for \( x \):**    \[    x \geq \frac{1000}{25} = 40    \]  Thus, the salesperson must make at least 40 sales to reach a salary of at least $1000.  The answer is:  # 40",,40.0
