"A car is being driven, in a straight line and at a uniform speed, towards the base of a vertical tower. The top of the tower is observed from the car and, in the process, it takes 10 minutes for the angle of elevation to change from 45° to 60°. After how much more time will this car reach the base of the tower? ['A)5(√3 + 1)', 'B)6(√3 + √2)', 'C)7(√3 – 1)', 'D)8(√3 – 2)', 'E)None of these']",5(√3 + 1),"To solve the problem, we will first analyze the situation using trigonometry.  Let: - \( h \) be the height of the tower. - \( d \) be the distance from the car to the base of the tower when the angle of elevation is 45°. - \( v \) be the speed of the car.  ### Step 1: Determine the height of the tower  When the angle of elevation is 45°, we have: \[ \tan(45°) = \frac{h}{d} \implies h = d \]  When the angle of elevation changes to 60°, we have: \[ \tan(60°) = \frac{h}{d'} \implies h = d' \sqrt{3} \] where \( d' \) is the new distance from the car to the base of the tower.  ### Step 2: Relate the distances  From the two equations for \( h \): 1. \( h = d \) 2. \( h = d' \sqrt{3} \)  Setting them equal gives: \[ d = d' \sqrt{3} \implies d' = \frac{d}{\sqrt{3}} \]  ### Step 3: Determine the distance traveled by the car  The car travels from distance \( d \) to distance \( d' \) in 10 minutes. The distance traveled by the car in this time is: \[ d - d' = d - \frac{d}{\sqrt{3}} = d \left(1 - \frac{1}{\sqrt{3}}\right) = d \left(\frac{\sqrt{3} - 1}{\sqrt{3}}\right) \]  ### Step 4: Calculate the speed of the car  The speed \( v \) of the car can be expressed as: \[ v = \frac{d - d'}{10 \text{ minutes}} = \frac{d \left(\frac{\sqrt{3} - 1}{\sqrt{3}}\right)}{10} \]  ### Step 5: Determine the remaining distance to the tower  The remaining distance to the tower when the angle of elevation is 60° is: \[ d' = \frac{d}{\sqrt{3}} \]  ### Step 6: Calculate the time to reach the base of the tower  The time \( t \) to reach the base of the tower from distance \( d' \) is given by: \[ t = \frac{d'}{v} \]  Substituting \( d' \) and \( v \): \[ t = \frac{\frac{d}{\sqrt{3}}}{\frac{d \left(\frac{\sqrt{3} - 1}{\sqrt{3}}\right)}{10}} = \frac{\frac{d}{\sqrt{3}} \cdot 10}{d \left(\frac{\sqrt{3} - 1}{\sqrt{3}}\right)} = \frac{10}{\sqrt{3} - 1} \]  ### Step 7: Simplify the expression  To simplify \( \frac{10}{\sqrt{3} - 1} \), we can multiply the numerator and denominator by \( \sqrt{3} + 1 \): \[ t = \frac{10(\sqrt{3} + 1)}{(\sqrt{3} - 1)(\sqrt{3} + 1)} = \frac{10(\sqrt{3} + 1)}{3 - 1} = \frac{10(\sqrt{3} + 1)}{2} = 5(\sqrt{3} + 1) \]  Thus, the time it takes for the car to reach the base of the tower after the angle of elevation has changed to 60° is:  # 5(√3 + 1)",,1.0
"The original price of an item is discounted 22%. A customer buys the item at this discounted price using a $20-off coupon. There is no tax on the item, and this was the only item the customer bought. If the customer paid $1.90 more than half the original price of the item, what was the original price of the item? ['A)$61', 'B)$65', 'C)$67.40', 'D)$70', 'E)$78.20']",$78.20,"Let the original price of the item be denoted as \( P \).  1. The item is discounted by 22%, so the discounted price can be calculated as:    \[    \text{Discounted Price} = P - 0.22P = 0.78P    \]  2. The customer uses a $20-off coupon on the discounted price, so the final price paid by the customer is:    \[    \text{Final Price} = 0.78P - 20    \]  3. According to the problem, the customer paid $1.90 more than half the original price. Therefore, we can express this as:    \[    0.78P - 20 = \frac{P}{2} + 1.90    \]  4. Now, we will solve for \( P \). First, rearranging the equation gives:    \[    0.78P - \frac{P}{2} = 20 + 1.90    \]    \[    0.78P - 0.5P = 21.90    \]    \[    0.28P = 21.90    \]  5. Now, we can solve for \( P \):    \[    P = \frac{21.90}{0.28}    \]    \[    P = 78.21428571428571    \]  6. Rounding to two decimal places, we find:    \[    P \approx 78.20    \]  Thus, the original price of the item is:  # 78.20",,78.2
"Find out which of the following values is the multiple of X, if it is divisible by 9 and 12? ['A)36', 'B)15', 'C)17', 'D)5', 'E)7']",36,"To determine which of the given values is a multiple of \( X \) (where \( X \) is the least common multiple of 9 and 12), we first need to find the least common multiple (LCM) of 9 and 12.  1. **Finding the LCM of 9 and 12:**    - The prime factorization of 9 is \( 3^2 \).    - The prime factorization of 12 is \( 2^2 \times 3^1 \).    - To find the LCM, we take the highest power of each prime factor:      - For the prime factor 2, the highest power is \( 2^2 \) (from 12).      - For the prime factor 3, the highest power is \( 3^2 \) (from 9).    - Therefore, the LCM is:      \[      LCM(9, 12) = 2^2 \times 3^2 = 4 \times 9 = 36      \]  2. **Checking the options:**    We need to check which of the given options is a multiple of 36:    - A) 36: \( 36 \div 36 = 1 \) (which is an integer, so 36 is a multiple of 36)    - B) 15: \( 15 \div 36 \approx 0.4167 \) (not an integer)    - C) 17: \( 17 \div 36 \approx 0.4722 \) (not an integer)    - D) 5: \( 5 \div 36 \approx 0.1389 \) (not an integer)    - E) 7: \( 7 \div 36 \approx 0.1944 \) (not an integer)  From the above checks, the only value that is a multiple of 36 is 36 itself.  Thus, the final answer is:  # 36",,36.0
"If the probability that Stock A will increase in value during the next month is 0.56, and the probability that Stock B will increase in value during the next month is 0.74. What is the greatest value for the probability that neither of these two events will occur? ['A)0.22', 'B)0.26', 'C)0.37', 'D)0.46', 'E)0.63']",0.26,"To find the greatest value for the probability that neither Stock A nor Stock B will increase in value, we first need to determine the probabilities that each stock will not increase.  Let: - \( P(A) = 0.56 \) (the probability that Stock A increases) - \( P(B) = 0.74 \) (the probability that Stock B increases)  The probabilities that each stock does not increase are: - \( P(A') = 1 - P(A) = 1 - 0.56 = 0.44 \) - \( P(B') = 1 - P(B) = 1 - 0.74 = 0.26 \)  To find the probability that neither stock increases, we can use the formula for the probability of the intersection of two independent events: \[ P(A' \cap B') = P(A') \cdot P(B') \]  Substituting the values we calculated: \[ P(A' \cap B') = 0.44 \cdot 0.26 \]  Calculating this gives: \[ P(A' \cap B') = 0.44 \times 0.26 = 0.1144 \]  However, we need to consider the greatest value for the probability that neither event occurs. The events are not independent, so we need to consider the maximum overlap. The maximum probability that neither occurs can be calculated using the formula: \[ P(A' \cup B') = 1 - P(A \cup B) \] where \( P(A \cup B) \) is the probability that at least one of the stocks increases.  Using the principle of inclusion-exclusion: \[ P(A \cup B) = P(A) + P(B) - P(A \cap B) \]  The maximum value of \( P(A \cap B) \) occurs when the two events are perfectly correlated, which means: \[ P(A \cap B) = \min(P(A), P(B)) = \min(0.56, 0.74) = 0.56 \]  Thus, we can calculate: \[ P(A \cup B) = 0.56 + 0.74 - 0.56 = 0.74 \]  Now, substituting back to find \( P(A' \cup B') \): \[ P(A' \cup B') = 1 - P(A \cup B) = 1 - 0.74 = 0.26 \]  Thus, the greatest value for the probability that neither Stock A nor Stock B will increase is: # 0.26",,0.26
"A trader sold an article at a profit of 20% for Rs.360. What is the cost price of the article? ['A)270', 'B)300', 'C)280', 'D)320', 'E)315']",300,"To find the cost price of the article, we can use the formula for profit:  \[ \text{Selling Price} = \text{Cost Price} + \text{Profit} \]  Given that the profit is 20%, we can express the selling price in terms of the cost price (CP):  \[ \text{Selling Price} = \text{Cost Price} + 0.20 \times \text{Cost Price} = 1.20 \times \text{Cost Price} \]  We know the selling price (SP) is Rs. 360. Therefore, we can set up the equation:  \[ 1.20 \times \text{Cost Price} = 360 \]  To find the cost price, we can rearrange the equation:  \[ \text{Cost Price} = \frac{360}{1.20} \]  Now, we perform the division:  \[ \text{Cost Price} = \frac{360}{1.20} = 300 \]  Thus, the cost price of the article is Rs. 300.  The final answer is:  # 300",,300.0
"20 marbles were pulled out of a bag of only white marbles, painted black, and then put back in. Then, another 20 marbles were pulled out, of which 1 was black, after which they were all returned to the bag. If the percentage of black marbles pulled out the second time represents their percentage in the bag, how many marbles in total Q does the bag currently hold? ['A)40', 'B)200', 'C)380', 'D)400', 'E)3200']",400,"Let \( Q \) be the total number of marbles in the bag. Initially, all marbles are white. When 20 marbles are pulled out and painted black, the total number of black marbles becomes 20.  After putting the 20 black marbles back into the bag, the total number of marbles in the bag is still \( Q \), but now there are 20 black marbles among them.  Next, another 20 marbles are pulled out, and it is given that 1 of these is black. The percentage of black marbles pulled out during this second draw is:  \[ \text{Percentage of black marbles pulled out} = \frac{\text{Number of black marbles pulled out}}{\text{Total marbles pulled out}} \times 100 = \frac{1}{20} \times 100 = 5\% \]  According to the problem, this percentage (5%) represents the percentage of black marbles in the bag. Therefore, we can set up the following equation:  \[ \frac{20}{Q} = 0.05 \]  To solve for \( Q \), we can rearrange the equation:  \[ 20 = 0.05Q \]  Dividing both sides by 0.05 gives:  \[ Q = \frac{20}{0.05} = 400 \]  Thus, the total number of marbles in the bag currently holds is:  # 400",,400.0
"Find the total no. of distinct bike no.'s that can beformed using 2 letters followed by 2 no.'s. How many letters need to be distinct? ['A)74453', 'B)64543', 'C)74325', 'D)65000', 'E)97656']",65000,"To find the total number of distinct bike numbers that can be formed using 2 letters followed by 2 numbers, we need to consider the following:  1. **Choosing Letters**:     - We have 26 letters in the English alphabet.    - We need to choose 2 letters. Since the letters need to be distinct, we can choose the first letter in 26 ways and the second letter in 25 ways (since it must be different from the first).    - The total combinations of letters can be calculated as:      \[      26 \times 25      \]  2. **Choosing Numbers**:    - We have 10 digits (0 through 9).    - We need to choose 2 numbers. Since the numbers also need to be distinct, we can choose the first number in 10 ways and the second number in 9 ways (since it must be different from the first).    - The total combinations of numbers can be calculated as:      \[      10 \times 9      \]  3. **Total Combinations**:    - The total number of distinct bike numbers can be calculated by multiplying the combinations of letters and numbers:      \[      \text{Total} = (26 \times 25) \times (10 \times 9)      \]  Now, let's calculate it step by step:  - Calculate the combinations of letters:   \[   26 \times 25 = 650   \]  - Calculate the combinations of numbers:   \[   10 \times 9 = 90   \]  - Now, multiply the combinations of letters and numbers:   \[   650 \times 90 = 58500   \]  Thus, the total number of distinct bike numbers that can be formed is:  # 58500",,58500.0
"A train running at a speed of 100 miles/hour, takes 10 hours to reach its destination. After covering quarter of the distance, it starts raining and the train has to be slowed to speed of 75 miles/hour. What is the total journey duration? ['A)10', 'B)11.5', 'C)12.5', 'D)13.5', 'E)15']",12.5,"To solve the problem, we first need to determine the total distance the train travels and then calculate the time taken for each segment of the journey.  1. **Calculate the total distance:**    The train runs at a speed of 100 miles/hour for 10 hours. Therefore, the total distance \( D \) can be calculated as:    \[    D = \text{speed} \times \text{time} = 100 \, \text{miles/hour} \times 10 \, \text{hours} = 1000 \, \text{miles}    \]  2. **Determine the distance covered before it starts raining:**    The train covers a quarter of the total distance before it starts raining. Thus, the distance covered before it starts raining \( D_1 \) is:    \[    D_1 = \frac{1}{4} \times D = \frac{1}{4} \times 1000 \, \text{miles} = 250 \, \text{miles}    \]  3. **Calculate the remaining distance after it starts raining:**    The remaining distance \( D_2 \) after covering the first quarter is:    \[    D_2 = D - D_1 = 1000 \, \text{miles} - 250 \, \text{miles} = 750 \, \text{miles}    \]  4. **Calculate the time taken for the first quarter of the journey:**    The time taken \( T_1 \) to cover the first 250 miles at 100 miles/hour is:    \[    T_1 = \frac{D_1}{\text{speed}} = \frac{250 \, \text{miles}}{100 \, \text{miles/hour}} = 2.5 \, \text{hours}    \]  5. **Calculate the time taken for the remaining distance:**    The train slows down to 75 miles/hour for the remaining 750 miles. The time taken \( T_2 \) for this segment is:    \[    T_2 = \frac{D_2}{\text{speed}} = \frac{750 \, \text{miles}}{75 \, \text{miles/hour}} = 10 \, \text{hours}    \]  6. **Calculate the total journey duration:**    The total time \( T \) for the journey is the sum of the time taken for both segments:    \[    T = T_1 + T_2 = 2.5 \, \text{hours} + 10 \, \text{hours} = 12.5 \, \text{hours}    \]  Thus, the total journey duration is:  # 12.5",,12.5
"Of the 200 students in a school, at least 45% attended the prom night and at least 35% took part in the debating session. What is the maximum number of students who could have neither attended the prom night nor the debating session? ['A)27', 'B)81', 'C)90', 'D)99', 'E)110']",110,"To find the maximum number of students who could have neither attended the prom night nor the debating session, we can use the principle of inclusion-exclusion.  1. **Calculate the number of students who attended the prom night:**    - At least 45% of 200 students attended the prom night.    - Number of students who attended the prom night = 0.45 * 200 = 90 students.  2. **Calculate the number of students who took part in the debating session:**    - At least 35% of 200 students took part in the debating session.    - Number of students who took part in the debating session = 0.35 * 200 = 70 students.  3. **Calculate the total number of students who attended either the prom night or the debating session:**    - Let \( A \) be the set of students who attended the prom night, and \( B \) be the set of students who took part in the debating session.    - We want to find the maximum number of students who are not in either set, which is given by:      \[      |A^c \cap B^c| = 200 - |A \cup B|      \]    - By the principle of inclusion-exclusion:      \[      |A \cup B| = |A| + |B| - |A \cap B|      \]    - To maximize \( |A^c \cap B^c| \), we need to minimize \( |A \cup B| \). This occurs when \( |A \cap B| \) is maximized.  4. **Find the maximum overlap \( |A \cap B| \):**    - The maximum possible overlap occurs when all students who attended the debating session also attended the prom night. Thus, the maximum overlap is limited by the smaller group:      \[      |A \cap B| \leq \min(|A|, |B|) = \min(90, 70) = 70      \]  5. **Calculate \( |A \cup B| \) with maximum overlap:**    - If \( |A \cap B| = 70 \):      \[      |A \cup B| = |A| + |B| - |A \cap B| = 90 + 70 - 70 = 90      \]  6. **Calculate the number of students who attended neither event:**    - Now, substituting back into the equation for students who attended neither:      \[      |A^c \cap B^c| = 200 - |A \cup B| = 200 - 90 = 110      \]  Thus, the maximum number of students who could have neither attended the prom night nor the debating session is:  # 110",,110.0
"A sales person gets a 10% commission on each sale he makes. How many sales of $250 each must he make in order to reach a salary of at least $1000? ['A)15', 'B)24', 'C)25', 'D)40', 'E)52']",40,"To determine how many sales the salesperson needs to make to reach a salary of at least $1000, we first need to calculate the commission earned from each sale.  1. **Calculate the commission per sale:**    The salesperson earns a 10% commission on each sale of $250.    \[    \text{Commission per sale} = 10\% \times 250 = 0.10 \times 250 = 25    \]  2. **Set up the equation for total commission:**    Let \( n \) be the number of sales made. The total commission earned from \( n \) sales is:    \[    \text{Total commission} = n \times 25    \]  3. **Set the total commission to be at least $1000:**    We want the total commission to be at least $1000:    \[    n \times 25 \geq 1000    \]  4. **Solve for \( n \):**    To find \( n \), divide both sides of the inequality by 25:    \[    n \geq \frac{1000}{25} = 40    \]  Thus, the salesperson must make at least 40 sales to reach a salary of at least $1000.  The answer is:  # 40",,40.0
