Winter is almost here and most animals are migrating to warmer countries. There are 41 bird families living near the mountain. If 35 bird families flew away to asia and 62 bird families flew away to africa How many more bird families flew away to africa than those that flew away to asia?,27,"To find out how many more bird families flew away to Africa than those that flew away to Asia, we can subtract the number of bird families that flew to Asia from the number that flew to Africa.  Number of bird families that flew to Africa: 62   Number of bird families that flew to Asia: 35    Now, we perform the subtraction:  62 - 35 = 27  So, 27 more bird families flew away to Africa than those that flew away to Asia.",,27
Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left. How many fishes disappeared?,4,"To find out how many fish disappeared, we first need to determine how many fish Paige originally had and then subtract the number of fish she has left.  Paige originally had: - 7 goldfish - 12 catfish  Total fish originally = 7 + 12 = 19 fish  Now, she has 15 fish left.   To find out how many fish disappeared, we subtract the number of fish left from the original number of fish:  Number of fish that disappeared = Original number of fish - Number of fish left = 19 - 15 = 4  So, 4 fish disappeared.",,4
Marco and his dad went strawberry picking. Together they collected strawberries that weighed 22 pounds. On the way back Marco ' dad found 30 more pounds of strawberries. Marco's strawberries now weighed 36 pounds. How much did his dad's strawberries weigh now?,16,"Let's break down the problem step by step.  1. Initially, Marco and his dad collected strawberries that weighed a total of 22 pounds. 2. On the way back, Marco's dad found an additional 30 pounds of strawberries. 3. After this, Marco's strawberries weighed 36 pounds.  Let’s denote: - The initial weight of Marco's strawberries as \( M \). - The initial weight of his dad's strawberries as \( D \).  From the information given, we have the equation: \[ M + D = 22 \]  After finding the additional 30 pounds, the total weight of strawberries collected by Marco's dad becomes: \[ D + 30 \]  Now, we know that Marco's strawberries now weigh 36 pounds. This means that the weight of Marco's strawberries has increased from \( M \) to 36 pounds.   To find out how much his dad's strawberries weigh now, we need to find the initial weight of Marco's strawberries \( M \).   Since Marco's strawberries increased from \( M \) to 36 pounds, we can express this as: \[ M + x = 36 \] where \( x \) is the increase in weight of Marco's strawberries.  Now, we can substitute \( M \) from the first equation into the second equation.   From \( M + D = 22 \), we can express \( D \) as: \[ D = 22 - M \]  Now, we need to find \( M \). Since we know that Marco's strawberries increased to 36 pounds, we can find \( M \) by considering the total weight of strawberries collected.  Since Marco's dad found 30 more pounds, the total weight of strawberries collected by both of them now is: \[ 36 + (D + 30) \]  We can express \( D + 30 \) as: \[ D + 30 = (22 - M) + 30 = 52 - M \]  Now, we can set up the equation: \[ 36 + (52 - M) = 36 + 52 - M = 88 - M \]  However, we need to find \( D + 30 \) directly.   Since we know that Marco's strawberries increased to 36 pounds, we can find \( M \) by using the total weight: 1. Initially, they had 22 pounds. 2. Marco's dad found 30 more pounds, so the total weight is now: \[ 22 + 30 = 52 \]  Now, we know that Marco's strawberries weigh 36 pounds, so we can find the weight of his dad's strawberries: \[ D + 30 = 52 - 36 = 16 \]  Thus, the weight of Marco's dad's strawberries now is: \[ D + 30 = 16 \]  So, the final answer is: Marco's dad's strawberries now weigh **16 pounds**.",,16
Debby bought 200 water bottles and 256 soda bottles when they were on sale. If she drank 312 water bottles and 4 soda bottles a day How many days would the soda bottles last?,64,"To find out how many days the soda bottles will last, we first need to determine how many soda bottles Debby drinks each day.  Debby drinks 4 soda bottles a day.   Now, we know that she bought 256 soda bottles. To find out how many days the soda bottles will last, we can use the following formula:  \[ \text{Number of days} = \frac{\text{Total soda bottles}}{\text{Soda bottles consumed per day}} \]  Substituting the values we have:  \[ \text{Number of days} = \frac{256}{4} = 64 \]  Therefore, the soda bottles will last for **64 days**.",,64
There were 106 dollars in Olivia's wallet. After she visited a supermarket and a showroom there were 26 dollars left. If she spent 49 dollars at the showroom How much did she spend at the supermarket?,31,"To find out how much Olivia spent at the supermarket, we can set up the problem using the information given.  1. Start with the initial amount of money Olivia had: 106 dollars. 2. After visiting the supermarket and the showroom, she had 26 dollars left. 3. She spent 49 dollars at the showroom.  Let \( x \) be the amount Olivia spent at the supermarket.   We can set up the equation based on the money she had before and after her purchases:  \[ 106 - (x + 49) = 26 \]  Now, simplify the equation:  \[ 106 - x - 49 = 26 \]  Combine like terms:  \[ 57 - x = 26 \]  Now, isolate \( x \):  \[ 57 - 26 = x \]  \[ x = 31 \]  So, Olivia spent **31 dollars** at the supermarket.",,31
Faye was placing her pencils and crayons into 30 rows with 71 crayons and 24 pencils in each row. How many pencils does she have?,720,"To find out how many pencils Faye has, we need to calculate the total number of pencils she placed in the rows.  Faye has 24 pencils in each row and there are 30 rows. We can calculate the total number of pencils by multiplying the number of pencils per row by the number of rows:  \[ \text{Total pencils} = \text{Number of rows} \times \text{Pencils per row} \]  Substituting the values:  \[ \text{Total pencils} = 30 \times 24 \]  Now, we perform the multiplication:  \[ 30 \times 24 = 720 \]  Therefore, Faye has a total of **720 pencils**.",,720
Ed had 10 more marbles than Doug. Doug lost 11 of his marbles at the playground. If Ed had 45 marbles How many more marbles did Ed have than Doug then?,21,"Let's break down the problem step by step.  1. We know that Ed had 10 more marbles than Doug. Let's denote the number of marbles Doug had as \( D \). Therefore, we can express Ed's marbles as:    \[    E = D + 10    \]  2. We are given that Ed had 45 marbles:    \[    E = 45    \]  3. Substituting the value of \( E \) into the equation:    \[    45 = D + 10    \]  4. To find \( D \), we can solve for \( D \):    \[    D = 45 - 10 = 35    \]  5. So, Doug originally had 35 marbles. However, we are told that Doug lost 11 marbles:    \[    D_{\text{lost}} = 35 - 11 = 24    \]  6. Now, we need to find out how many more marbles Ed has than Doug after Doug lost his marbles. Ed still has 45 marbles, and Doug now has 24 marbles.  7. The difference in the number of marbles is:    \[    45 - 24 = 21    \]  Thus, Ed has 21 more marbles than Doug after Doug lost his marbles.",,21
26 children were riding on the bus. At the bus stop 38 more children got on the bus. How many children are on the bus now?,64,"To find the total number of children on the bus now, you simply add the number of children already on the bus to the number of children who got on at the bus stop.  Initially, there were 26 children on the bus. Then, 38 more children got on.  So, the calculation is:  26 (initial children) + 38 (children who got on) = 64 children  Therefore, there are now 64 children on the bus.",,64
Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 31 cookies yesterday 270 cookies this morning and 419 cookies the day before yesterday. How many cookies did Helen bake till last night?,450,"To find out how many cookies Helen baked until last night, we need to add the number of cookies she baked each day:  - Cookies baked yesterday: 31 - Cookies baked this morning: 270 - Cookies baked the day before yesterday: 419  Now, we add these amounts together:  \[ 31 + 270 + 419 = 720 \]  So, Helen baked a total of **720 cookies** until last night.",,720
He then went to see the oranges being harvested. He found out that they harvest 66 sacks per day and that each sack containes 25 oranges. How many oranges will they have after 87 days of harvest?,143550,"To find out how many oranges will be harvested after 87 days, we can follow these steps:  1. Calculate the total number of sacks harvested in 87 days:    \[    \text{Total sacks} = \text{Sacks per day} \times \text{Number of days} = 66 \text{ sacks/day} \times 87 \text{ days} = 5742 \text{ sacks}    \]  2. Calculate the total number of oranges harvested:    \[    \text{Total oranges} = \text{Total sacks} \times \text{Oranges per sack} = 5742 \text{ sacks} \times 25 \text{ oranges/sack} = 143550 \text{ oranges}    \]  Therefore, after 87 days of harvest, they will have **143,550 oranges**.",,143550
